Helpfulness,Group,Latent_Helpfulness,Latent_Heuristic,Latent_Systematic
656,Project Hail Mary,87.396,-0.834,0.76
159,Project Hail Mary,21.137,-0.54,0.219
157,Project Hail Mary,20.87,-0.599,2.732
34,Project Hail Mary,4.472,-0.663,1.212
20,Project Hail Mary,2.606,0.176,0.798
15,Project Hail Mary,1.939,-0.701,-0.238
7,Project Hail Mary,0.873,0.172,1.409
6,Project Hail Mary,0.739,0.467,2.195
3,Project Hail Mary,0.339,0.527,1.372
2,Project Hail Mary,0.206,-0.756,-0.057
1,Project Hail Mary,0.073,-0.84,0.379
1,Project Hail Mary,0.073,-0.829,-0.19
1,Project Hail Mary,0.073,-0.424,-0.724
1,Project Hail Mary,0.073,-0.788,0.359
1,Project Hail Mary,0.073,-0.73,-0.167
1,Project Hail Mary,0.073,-0.73,-0.524
1,Project Hail Mary,0.073,-0.661,0.094
1,Project Hail Mary,0.073,-0.779,0.035
1,Project Hail Mary,0.073,-0.721,0.492
1,Project Hail Mary,0.073,-0.854,-0.321
1,Project Hail Mary,0.073,-0.777,-0.051
1,Project Hail Mary,0.073,-0.722,1.155
1,Project Hail Mary,0.073,-0.84,-0.489
1,Project Hail Mary,0.073,-0.88,-0.221
1,Project Hail Mary,0.073,-0.922,3.38
1,Project Hail Mary,0.073,-0.623,0.381
1,Project Hail Mary,0.073,-0.775,-0.13
1,Project Hail Mary,0.073,-0.786,0.58
1,Project Hail Mary,0.073,-0.886,-0.213
1,Project Hail Mary,0.073,-0.891,-0.365
1,Project Hail Mary,0.073,-0.891,-0.466
1,Project Hail Mary,0.073,-0.483,-0.517
1,Project Hail Mary,0.073,-0.722,-0.479
1,Project Hail Mary,0.073,-0.612,0.088
1,Project Hail Mary,0.073,-0.558,-0.519
1,Project Hail Mary,0.073,-0.844,-0.503
1,Project Hail Mary,0.073,-0.795,-0.394
1,Project Hail Mary,0.073,-0.66,0.419
1,Project Hail Mary,0.073,-0.682,1.282
1,Project Hail Mary,0.073,-0.952,-0.134
1,Project Hail Mary,0.073,-0.675,-0.349
1,Project Hail Mary,0.073,-0.558,-0.112
1,Project Hail Mary,0.073,-0.794,-0.626
1,Project Hail Mary,0.073,-0.868,-0.561
1,Project Hail Mary,0.073,-0.853,-0.14
1,Project Hail Mary,0.073,-0.306,0.5
1,Project Hail Mary,0.073,-0.266,1.916
1,Project Hail Mary,0.073,-0.612,1.432
1,Project Hail Mary,0.073,-0.807,-0.778
1,Project Hail Mary,0.073,-0.573,-0.379
1,Project Hail Mary,0.073,-0.719,-0.433
1,Project Hail Mary,0.073,-0.487,1.875
1,Project Hail Mary,0.073,-0.763,-0.398
1,Project Hail Mary,0.073,-0.789,-0.31
1,Project Hail Mary,0.073,-0.733,1.613
1,Project Hail Mary,0.073,-0.788,-0.119
1,Project Hail Mary,0.073,-0.972,0.292
1,Project Hail Mary,0.073,-0.789,0.523
1,Project Hail Mary,0.073,-0.851,-0.448
1,Project Hail Mary,0.073,-0.379,-0.181
1,Project Hail Mary,0.073,-0.911,0.236
1,Project Hail Mary,0.073,-0.794,-0.426
1,Project Hail Mary,0.073,-0.909,-0.425
1,Project Hail Mary,0.073,-0.969,-0.565
1,Project Hail Mary,0.073,-0.676,0.536
1,Project Hail Mary,0.073,-0.675,-0.651
1,Project Hail Mary,0.073,-0.661,0.48
1,Project Hail Mary,0.073,-0.305,-0.55
1,Project Hail Mary,0.073,-0.612,0.893
1,Project Hail Mary,0.073,-0.774,-0.088
1,Project Hail Mary,0.073,-0.376,-0.146
1,Project Hail Mary,0.073,-0.796,-0.188
1,Project Hail Mary,0.073,-0.914,-0.504
1,Project Hail Mary,0.073,-0.712,0.721
1,Project Hail Mary,0.073,-1.052,-0.4
1,Project Hail Mary,0.073,-1.053,-0.397
1,Project Hail Mary,0.073,-0.734,0.429
1,Project Hail Mary,0.073,-0.791,-0.46
1,Project Hail Mary,0.073,-0.668,-0.047
1,Project Hail Mary,0.073,-0.72,-0.268
1,Project Hail Mary,0.073,-0.889,0.157
1,Project Hail Mary,0.073,-0.594,-0.015
1,Project Hail Mary,0.073,-0.913,-0.714
1,Project Hail Mary,0.073,-0.913,0.371
1,Project Hail Mary,0.073,-1.011,-0.877
1,Project Hail Mary,0.073,-0.705,-0.158
1,Project Hail Mary,0.073,-0.601,0.401
1,Project Hail Mary,0.073,-0.786,2.1
1,Project Hail Mary,0.073,-0.781,-0.302
1,Project Hail Mary,0.073,-0.841,-0.219
1,Project Hail Mary,0.073,-0.546,-0.054
1,Project Hail Mary,0.073,-0.782,-0.222
1,Project Hail Mary,0.073,-0.816,-0.045
1,Project Hail Mary,0.073,-1.003,-0.808
1,Project Hail Mary,0.073,-0.858,0.48
1,Project Hail Mary,0.073,-0.912,-0.31
1,Project Hail Mary,0.073,-0.824,-0.098
1,Project Hail Mary,0.073,-0.769,0.122
1,Project Hail Mary,0.073,-0.833,-0.159
