item_id,original_group
item_0001,"Panasonic Portable AM / FM Radio, Battery Operated Analog Radio, AC Powered, Silver (RF-2400D) 22.8 x 7.8 x 10.8"
item_0002,"Midland - WR120B - NOAA Emergency Weather Alert Radio - S.A.M.E. Localized Programming, Trilingual Display, 60+ Emergency Alerts, & Alarm Clock (WR120B - Box Packaging)"
item_0003,"Sanus Adjustable Height Speaker Stand - Extends 28"" to 38"" - Holds Satellite & Small Bookshelf Speakers (i.e. Bose, Harmon Kardon, Polk, JBL, KEF, Klipsch, Sony and Others) - Set of 2 - Model: HTBS"
item_0004,Logitech K350 Wave Ergonomic Keyboard with Unifying Wireless Technology - Black
item_0005,"Logitech M510 Wireless Computer Mouse ??Comfortable Shape with USB Unifying Receiver, with Back/Forward Buttons and Side-to-Side Scrolling, Dark Gray"
item_0006,"Logitech MK550 Wireless Wave Keyboard and Mouse Combo - Includes Keyboard and Mouse, Long Battery Life, Ergonomic Wave Design, Black"
item_0007,"Logitech M570 Wireless Trackball Mouse ??Ergonomic Design with Sculpted Right-Hand Shape, Compatible with Apple Mac / Microsoft, USB Unifying Receiver, Dark Gray (Discontinued by Manufacturer)"
item_0008,Logitech Wireless Mouse M525 - Red/Black
item_0009,"Anker 2-in-1 USB 3.0 SD Card Reader for SDXC, SDHC, MMC, RS-MMC, Micro SDXC, Micro SD, Micro SDHC and UHS-I Cards"
item_0010,Amazon Basics Adjustable Tablet Holder Portable Stand - Black
item_0011,"Anker 2.4G Wireless Vertical Ergonomic Optical Mouse, 800 / 1200 /1600 DPI, 5 Buttons for Laptop, Desktop, PC, Macbook - Black"
item_0012,SABRENT 4 Port USB 2.0 Data Hub with Individual LED lit Power Switches [Charging NOT Supported] for Mac & PC (HB-UMLS)
item_0013,"Amazon Basics 2-Pack USB-A 3.0 Extension Cable, 4.8Gbps High-Speed, Male to Female Gold-Plated Connectors, 6 Foot, Black"
item_0014,NETGEAR Nighthawk Smart Wi-Fi Router (R7000) - AC1900 Wireless Speed (Up to 1900 Mbps) | Up to 1800 Sq Ft Coverage & 30 Devices | 4 x 1G Ethernet and 2 USB ports | Armor Security
item_0015,"Amazon Basics 14-Inch Tablet Bag, Black"
item_0016,Amazon Basics External Hard Drive Portable Carrying Case
item_0017,1byone Amplified HD Digital TV Antenna - Support 4K 1080p and All Older TV's - Indoor Smart Switch Amplifier Signal Booster - Coax HDTV Cable/AC Adapter
item_0018,"Energizer Rechargeable AA and AAA Battery Charger (Recharge Pro) with 4 AA NiMH Rechargeable Batteries, Auto-Safety Feature, Over-Charge Protection"
item_0019,PROZOR 192KHz Digital to Analog Audio Converter DAC Digital SPDIF Optical to Analog L/R RCA Converter Toslink Optical to 3.5mm Jack Adapter for PS3 HD DVD PS4 Amp Apple TV Home Cinema
item_0020,"Mounting Dream TV Wall Mount for Most 26-55 Inch TVs, Full Motion TV Mount with Perfect Center Design, Articulating Mount Max VESA 400x400mm up to 77 LBS, Wall Mount TV Bracket MD2413-MX"
item_0021,"NETGEAR Wi-Fi Range Extender EX2700 - Coverage Up to 800 Sq Ft and 10 devices with N300 Wireless Signal Booster & Repeater (Up to 300Mbps Speed), and Compact Wall Plug Design"
item_0022,"Mounting Dream UL Listed TV Mount for Most 37-70 Inch TV, Universal Tilt TV Wall Mount Fit 16"", 18"", 24"" Stud with Loading Capacity 132lbs, Max Vesa 600 x 400mm, Low Profile Flat Wall Mount Bracket"
item_0023,"Cable Clips Management - Nightstand Accessories - Cord Organizer - Desk Cable Management - Wire Holder System - Adhesive Cord Clips - Home, Office, Cubicle, Car - Gift Idea - Black"
item_0024,"Amazon Basics 5-Pack RJ45 Cat 6 Ethernet Patch Cable, 1Gpbs Transfer Speed, Gold-Plated Connectors, 5 Foot, Black"
item_0025,"TOSLINK Cable, Optical Audio Cable ??35 feet Long Fiber Optic Cable for soundbars (TOSLINK to TOSLINK, Digital S/PDIF Cable, Stereo Systems/amplifiers/amps, Home Cinema, Xbox One/PS5) ??CableDirect"
item_0026,"Sony ZX Series Wired On-Ear Headphones with Mic, White MDR-ZX110AP"
item_0027,"Mounting Dream TV Wall Mount Swivel and Tilt for Most 26-55 Inch TV, TV Mount Perfect Center Design, Full Motion TV Mount Bracket with Articulation, up to VESA 400x400mm, 60 lbs, MD2377"
item_0028,Sony MDREX15LP/P In-Ear Headphone (Pink)
item_0029,"NETGEAR Wi-Fi Range Extender EX3700 - Coverage Up to 1000 Sq Ft and 15 Devices with AC750 Dual Band Wireless Signal Booster & Repeater (Up to 750Mbps Speed), and Compact Wall Plug Design"
item_0030,Betron YSM1000 Earphones in Ear Headphones Wired 3.5mm Jack Tangle-Free Cable Case and Noise Isolating Earbuds
