item_id,original_group
item_0001,studios2let
item_0002,astorcourthotel
item_0003,point-a-london-liverpool-street
item_0004,blakemore
item_0005,nyx-hotel-london-by-leonardo-hotels
item_0006,marlin-waterloo
item_0007,crestfieldhotel
item_0008,sidneyhotel
item_0009,safestay
item_0010,zedwell-trocaderor
item_0011,park-plaza-county-hall
item_0012,hanoverhotel
item_0013,radissonblugrafton
item_0014,cityinnwestminster
item_0015,milleniumgloucester
item_0016,parkinternational
item_0017,the-clermont-victoria
item_0018,windsorhousehotel
item_0019,thistletower
item_0020,alexandra-hotel
item_0021,phoenixhotel
item_0022,norfolktowershotel
item_0023,tavistock
item_0024,ace
item_0025,keystone-house
item_0026,express-hammersmith
item_0027,royal-national
item_0028,stgileshotel
item_0029,lancaster-gate
item_0030,montcalm-chilworth-townhouse
item_0031,z-trafalgar
item_0032,the-belgrave
item_0033,montanahotel
