"platform","model","component","construct","estimate","se","p_value","sig_marker"
"amazon","standard","conditional","Systematic",0.6263,0.0138,0,"***"
"amazon","standard","conditional","Heuristic",0.0432,0.0148,0.003396,"**"
"amazon","standard","zero_inflation","Systematic",-1.4707,0.0967,0,"***"
"amazon","standard","zero_inflation","Heuristic",-1.3293,0.0645,0,"***"
"amazon","multilevel","conditional","Systematic",0.5663,0.0137,0,"***"
"amazon","multilevel","conditional","Heuristic",0.1063,0.0163,0,"***"
"amazon","multilevel","zero_inflation","Systematic",-1.7105,0.1006,0,"***"
"amazon","multilevel","zero_inflation","Heuristic",-0.9391,0.081,0,"***"
"audible","standard","conditional","Systematic",0.7443,0.028,0,"***"
"audible","standard","conditional","Heuristic",0.2317,0.0198,0,"***"
"audible","standard","zero_inflation","Systematic",-0.0453,0.0198,0.022424,"*"
"audible","standard","zero_inflation","Heuristic",-1.0175,0.0351,0,"***"
"audible","multilevel","conditional","Systematic",0.6239,0.022,0,"***"
"audible","multilevel","conditional","Heuristic",0.4488,0.0291,0,"***"
"audible","multilevel","zero_inflation","Systematic",-0.0819,0.0209,9.2e-05,"***"
"audible","multilevel","zero_inflation","Heuristic",-1.8077,0.074,0,"***"
"coursera","standard","conditional","Systematic",0.1622,0.0136,0,"***"
"coursera","standard","conditional","Heuristic",0.1407,0.0114,0,"***"
"coursera","standard","zero_inflation","Systematic",-0.9984,0.0375,0,"***"
"coursera","standard","zero_inflation","Heuristic",-0.8858,0.0331,0,"***"
"coursera","multilevel","conditional","Systematic",0.1551,0.0123,0,"***"
"coursera","multilevel","conditional","Heuristic",0.1407,0.0111,0,"***"
"coursera","multilevel","zero_inflation","Systematic",-0.9664,0.0328,0,"***"
"coursera","multilevel","zero_inflation","Heuristic",-0.7211,0.0233,0,"***"
"hotel","standard","conditional","Systematic",0.1905,0.0125,0,"***"
"hotel","standard","conditional","Heuristic",0.1151,0.0106,0,"***"
"hotel","standard","zero_inflation","Systematic",-1.6739,0.1645,0,"***"
"hotel","standard","zero_inflation","Heuristic",0.1729,0.0308,0,"***"
"hotel","multilevel","conditional","Systematic",0.1802,0.0123,0,"***"
"hotel","multilevel","conditional","Heuristic",0.1247,0.011,0,"***"
"hotel","multilevel","zero_inflation","Systematic",-1.7046,0.1691,0,"***"
"hotel","multilevel","zero_inflation","Heuristic",0.1707,0.0334,0,"***"
