"spec","platform","component","construct","estimate","se","p_value","sig_marker","conv_status"
"a2-a","amazon","conditional","Systematic",0.5993,0.0375,0,"***","OK"
"a2-a","amazon","conditional","Heuristic",0.1098,0.0358,0.002174,"**","OK"
"a2-a","amazon","zero_inflation","Systematic",-1.3586,0.1263,0,"***","OK"
"a2-a","amazon","zero_inflation","Heuristic",-1.0583,0.1235,0,"***","OK"
"a2-a","audible","conditional","Systematic",0.6092,0.0216,0,"***","fallback_RI"
"a2-a","audible","conditional","Heuristic",0.4639,0.0292,0,"***","fallback_RI"
"a2-a","audible","zero_inflation","Systematic",-0.0802,0.0206,9.5e-05,"***","fallback_RI"
"a2-a","audible","zero_inflation","Heuristic",-1.7159,0.07,0,"***","fallback_RI"
"a2-a","coursera","conditional","Systematic",0.1562,0.0125,0,"***","fallback_RI"
"a2-a","coursera","conditional","Heuristic",0.1449,0.0111,0,"***","fallback_RI"
"a2-a","coursera","zero_inflation","Systematic",-0.9772,0.0331,0,"***","fallback_RI"
"a2-a","coursera","zero_inflation","Heuristic",-0.7466,0.0237,0,"***","fallback_RI"
"a2-a","hotel","conditional","Systematic",0.1883,0.0111,0,"***","fallback_RI"
"a2-a","hotel","conditional","Heuristic",0.2119,0.0125,0,"***","fallback_RI"
"a2-a","hotel","zero_inflation","Systematic",-2.6972,0.3543,0,"***","fallback_RI"
"a2-a","hotel","zero_inflation","Heuristic",-0.1583,0.0847,0.061687,"n.s.","fallback_RI"
"a2-b","amazon","conditional","Systematic",0.6023,0.0371,0,"***","OK"
"a2-b","amazon","conditional","Heuristic",0.1131,0.036,0.001671,"**","OK"
"a2-b","amazon","zero_inflation","Systematic",-1.4605,0.1403,0,"***","OK"
"a2-b","amazon","zero_inflation","Heuristic",-1.0256,0.1249,0,"***","OK"
"a2-b","audible","conditional","Systematic",0.6061,0.0217,0,"***","fallback_RI"
"a2-b","audible","conditional","Heuristic",0.4637,0.0292,0,"***","fallback_RI"
"a2-b","audible","zero_inflation","Systematic",-0.0808,0.0206,8.8e-05,"***","fallback_RI"
"a2-b","audible","zero_inflation","Heuristic",-1.7169,0.0699,0,"***","fallback_RI"
"a2-b","coursera","conditional","Systematic",0.16,0.0127,0,"***","fallback_RI"
"a2-b","coursera","conditional","Heuristic",0.1442,0.0111,0,"***","fallback_RI"
"a2-b","coursera","zero_inflation","Systematic",-0.9801,0.033,0,"***","fallback_RI"
"a2-b","coursera","zero_inflation","Heuristic",-0.7437,0.0237,0,"***","fallback_RI"
"a2-b","hotel","conditional","Systematic",0.189,0.0111,0,"***","fallback_RI"
"a2-b","hotel","conditional","Heuristic",0.2118,0.0125,0,"***","fallback_RI"
"a2-b","hotel","zero_inflation","Systematic",-2.7156,0.359,0,"***","fallback_RI"
"a2-b","hotel","zero_inflation","Heuristic",-0.1616,0.0853,0.058005,"n.s.","fallback_RI"
"a2-c","amazon","conditional","Systematic",0.6079,0.037,0,"***","OK"
"a2-c","amazon","conditional","Heuristic",0.1124,0.0353,0.001471,"**","OK"
"a2-c","amazon","zero_inflation","Systematic",-1.5654,0.1522,0,"***","OK"
"a2-c","amazon","zero_inflation","Heuristic",-0.9923,0.1223,0,"***","OK"
"a2-c","audible","conditional","Systematic",0.6107,0.0217,0,"***","fallback_RI"
"a2-c","audible","conditional","Heuristic",0.4624,0.0292,0,"***","fallback_RI"
"a2-c","audible","zero_inflation","Systematic",-0.0812,0.0206,8.3e-05,"***","fallback_RI"
"a2-c","audible","zero_inflation","Heuristic",-1.7142,0.0697,0,"***","fallback_RI"
"a2-c","coursera","conditional","Systematic",0.155,0.0124,0,"***","fallback_RI"
"a2-c","coursera","conditional","Heuristic",0.1451,0.0111,0,"***","fallback_RI"
"a2-c","coursera","zero_inflation","Systematic",-0.9764,0.0331,0,"***","fallback_RI"
"a2-c","coursera","zero_inflation","Heuristic",-0.7484,0.0237,0,"***","fallback_RI"
"a2-c","hotel","conditional","Systematic",0.1842,0.011,0,"***","fallback_RI"
"a2-c","hotel","conditional","Heuristic",0.2129,0.0127,0,"***","fallback_RI"
"a2-c","hotel","zero_inflation","Systematic",-2.656,0.3382,0,"***","fallback_RI"
"a2-c","hotel","zero_inflation","Heuristic",-0.1215,0.0831,0.143709,"n.s.","fallback_RI"
"d1","amazon","conditional","Systematic",0.6008,0.0367,0,"***","OK"
"d1","amazon","conditional","Heuristic",0.1,0.0341,0.003363,"**","OK"
"d1","amazon","zero_inflation","Systematic",-1.5314,0.1414,0,"***","OK"
"d1","amazon","zero_inflation","Heuristic",-0.8585,0.1105,0,"***","OK"
"d1","audible","conditional","Systematic",0.617,0.0232,0,"***","fallback_RI"
"d1","audible","conditional","Heuristic",0.114,0.0167,0,"***","fallback_RI"
"d1","audible","zero_inflation","Systematic",-0.1905,0.027,0,"***","fallback_RI"
"d1","audible","zero_inflation","Heuristic",-0.6992,0.0378,0,"***","fallback_RI"
"d1","coursera","conditional","Systematic",0.1638,0.0127,0,"***","fallback_RI"
"d1","coursera","conditional","Heuristic",0.1247,0.0107,0,"***","fallback_RI"
"d1","coursera","zero_inflation","Systematic",-0.9935,0.0334,0,"***","fallback_RI"
"d1","coursera","zero_inflation","Heuristic",-0.731,0.0234,0,"***","fallback_RI"
"d1","hotel","conditional","Systematic",0.1897,0.0112,0,"***","fallback_RI"
"d1","hotel","conditional","Heuristic",0.2097,0.0125,0,"***","fallback_RI"
"d1","hotel","zero_inflation","Systematic",-2.7154,0.3603,0,"***","fallback_RI"
"d1","hotel","zero_inflation","Heuristic",-0.1648,0.0866,0.057089,"n.s.","fallback_RI"
"c4","amazon","conditional","Systematic",0.243,0.0198,0,"***","OK"
"c4","amazon","conditional","Heuristic",0.022,0.0197,0.263923,"n.s.","OK"
"c4","audible","conditional","Systematic",0.2932,0.0326,0,"***","OK"
"c4","audible","conditional","Heuristic",0.2971,0.053,0,"***","OK"
"c4","coursera","conditional","Systematic",0.1081,0.0131,0,"***","OK"
"c4","coursera","conditional","Heuristic",0.0869,0.0136,0,"***","OK"
"c4","hotel","conditional","Systematic",0.0523,0.0069,0,"***","fallback_RI"
"c4","hotel","conditional","Heuristic",0.0539,0.0073,0,"***","fallback_RI"
"d2","amazon","conditional","Systematic",0.6112,0.0378,0,"***","OK"
"d2","amazon","conditional","Heuristic",0.124,0.0352,0.000433,"***","OK"
"d2","amazon","zero_inflation","Systematic",-1.5337,0.1359,0,"***","OK"
"d2","amazon","zero_inflation","Heuristic",-1.0435,0.1287,0,"***","OK"
"d2","audible","conditional","Systematic",0.6238,0.022,0,"***","fallback_RI"
"d2","audible","conditional","Heuristic",0.4523,0.0292,0,"***","fallback_RI"
"d2","audible","zero_inflation","Systematic",-0.0809,0.0209,0.000106,"***","fallback_RI"
"d2","audible","zero_inflation","Heuristic",-1.8266,0.0741,0,"***","fallback_RI"
"d2","coursera","conditional","Systematic",0.1551,0.0124,0,"***","fallback_RI"
"d2","coursera","conditional","Heuristic",0.1426,0.0112,0,"***","fallback_RI"
"d2","coursera","zero_inflation","Systematic",-0.9589,0.0325,0,"***","fallback_RI"
"d2","coursera","zero_inflation","Heuristic",-0.7138,0.0231,0,"***","fallback_RI"
"d2","hotel","conditional","Systematic",0.1791,0.0123,0,"***","fallback_RI"
"d2","hotel","conditional","Heuristic",0.1258,0.0111,0,"***","fallback_RI"
"d2","hotel","zero_inflation","Systematic",-1.6565,0.1656,0,"***","fallback_RI"
"d2","hotel","zero_inflation","Heuristic",0.1715,0.034,0,"***","fallback_RI"
