"spec","platform","original_status","fallback_used","final_status","err_msg"
"a2-a","amazon","OK",0,"OK",""
"a2-a","audible","non-PD-Hessian-or-rs-error",1,"OK","random-slopes Hessian non-PD"
"a2-a","coursera","non-PD-Hessian-or-rs-error",1,"OK","random-slopes Hessian non-PD"
"a2-a","hotel","non-PD-Hessian-or-rs-error",1,"OK","random-slopes Hessian non-PD"
"a2-b","amazon","OK",0,"OK",""
"a2-b","audible","non-PD-Hessian-or-rs-error",1,"OK","random-slopes Hessian non-PD"
"a2-b","coursera","non-PD-Hessian-or-rs-error",1,"OK","random-slopes Hessian non-PD"
"a2-b","hotel","non-PD-Hessian-or-rs-error",1,"OK","random-slopes Hessian non-PD"
"a2-c","amazon","OK",0,"OK",""
"a2-c","audible","non-PD-Hessian-or-rs-error",1,"OK","random-slopes Hessian non-PD"
"a2-c","coursera","non-PD-Hessian-or-rs-error",1,"OK","random-slopes Hessian non-PD"
"a2-c","hotel","non-PD-Hessian-or-rs-error",1,"OK","random-slopes Hessian non-PD"
"d1","amazon","OK",0,"OK",""
"d1","audible","non-PD-Hessian-or-rs-error",1,"OK","random-slopes Hessian non-PD"
"d1","coursera","non-PD-Hessian-or-rs-error",1,"OK","random-slopes Hessian non-PD"
"d1","hotel","non-PD-Hessian-or-rs-error",1,"OK","random-slopes Hessian non-PD"
"c4","amazon","OK",0,"OK",""
"c4","audible","OK",0,"OK",""
"c4","coursera","OK",0,"OK",""
"c4","hotel","non-PD-Hessian-or-rs-error",1,"OK","random-slopes Hessian non-PD"
"d2","amazon","OK",0,"OK",""
"d2","audible","non-PD-Hessian-or-rs-error",1,"OK","random-slopes Hessian non-PD"
"d2","coursera","non-PD-Hessian-or-rs-error",1,"OK","random-slopes Hessian non-PD"
"d2","hotel","non-PD-Hessian-or-rs-error",1,"OK","random-slopes Hessian non-PD"
