"platform","construct","indicator","n","plspm_R_weight","plspm_R_boot_mean","plspm_R_boot_se","plspm_R_t_stat","plspm_R_ci_lo","plspm_R_ci_hi","plspm_R_p_value","plspm_R_sig","smartpls_weight","smartpls_sig","abs_diff","sign_match","sig_match","ci_contains_smartpls"
"amazon","Heuristic","rating_deviation",89927,0.5354,0.5371,0.0989,5.4164,0.3349,0.7011,0,"***",0.574,"***",0.0386,1,1,1
"amazon","Heuristic","title_length",89927,0.7735,0.7584,0.0837,9.2409,0.6028,0.9078,0,"***",0.736,"***",0.0375,1,1,1
"amazon","Heuristic","recency",89927,-0.1152,-0.1228,0.0737,-1.5631,-0.2694,0.0185,0.118,"n.s.",0.125,"n.s.",0.2402,0,1,0
"amazon","Systematic","depth",89927,1.0399,1.039,0.0135,77.169,1.0117,1.0634,0,"***",1.026,"***",0.0139,1,1,1
"amazon","Systematic","breadth",89927,0.1161,0.112,0.0244,4.7506,0.0595,0.1541,0,"***",-0.085,"***",0.2011,0,1,0
"amazon","Systematic","readability",89927,0.0282,0.0266,0.0109,2.585,0.0067,0.0484,0.0097,"**",0.044,"***",0.0158,1,0,1
"amazon","Systematic","arousal",89927,-0.0608,-0.0599,0.0115,-5.2806,-0.0805,-0.036,0,"***",-0.026,"***",0.0348,1,1,0
"audible","Heuristic","rating_deviation",92989,0.5811,0.5763,0.0483,12.0225,0.4796,0.6704,0,"***",0.582,"***",9e-04,1,1,1
"audible","Heuristic","title_length",92989,0.168,0.1667,0.0511,3.285,0.073,0.2701,0.001,"**",0.142,"**",0.026,1,1,1
"audible","Heuristic","recency",92989,0.7517,0.7522,0.0408,18.4222,0.6625,0.8263,0,"***",0.755,"***",0.0033,1,1,1
"audible","Systematic","depth",92989,1.0159,1.0144,0.019,53.3884,0.977,1.0519,0,"***",1.028,"***",0.0121,1,1,1
"audible","Systematic","breadth",92989,0.051,0.0476,0.033,1.5472,-0.0244,0.1063,0.1218,"n.s.",-0.108,"***",0.159,0,0,0
"audible","Systematic","readability",92989,0.045,0.0443,0.0186,2.4244,0.0063,0.0781,0.0153,"*",0.048,"***",0.003,1,0,1
"audible","Systematic","arousal",92989,-0.0582,-0.0578,0.0246,-2.3688,-0.1043,-0.0109,0.0178,"*",-0.034,"n.s.",0.0242,1,0,1
"coursera","Heuristic","rating_deviation",121386,0.9863,0.9857,0.0077,128.012,0.9701,1.0003,0,"***",0.986,"***",3e-04,1,1,1
"coursera","Heuristic","recency",121386,0.2274,0.228,0.0243,9.3594,0.1837,0.2818,0,"***",0.227,"**",4e-04,1,0,1
"coursera","Systematic","depth",121386,1.0033,1.0029,0.0186,53.9376,0.9656,1.0381,0,"***",1.024,"***",0.0207,1,1,1
"coursera","Systematic","breadth",121386,0.0094,0.0079,0.0274,0.3434,-0.0502,0.059,0.7313,"n.s.",-0.159,"***",0.1684,0,0,0
"coursera","Systematic","readability",121386,0.0225,0.0231,0.0104,2.162,0.0034,0.0434,0.0306,"*",0.042,"**",0.0195,1,0,1
"coursera","Systematic","arousal",121386,-0.1252,-0.1243,0.0198,-6.312,-0.1617,-0.0876,0,"***",-0.063,"***",0.0622,1,1,0
"hotel","Heuristic","rating_deviation",89505,0.9722,0.971,0.0085,114.1194,0.9526,0.9861,0,"***",0.919,"***",0.0532,1,1,0
"hotel","Heuristic","title_length",89505,0.2145,0.2142,0.0341,6.291,0.1507,0.2813,0,"***",0.39,"***",0.1755,1,1,0
"hotel","Heuristic","recency",89505,0.0791,0.0792,0.0321,2.4636,0.017,0.1389,0.0138,"*",0.139,"***",0.0599,1,0,0
"hotel","Systematic","depth",89505,1.0024,1.0005,0.0174,57.6022,0.9651,1.0338,0,"***",1.04,"***",0.0376,1,1,0
"hotel","Systematic","breadth",89505,-0.0034,-0.0055,0.0324,-0.1043,-0.0662,0.059,0.917,"n.s.",0.251,"***",0.2544,0,0,0
"hotel","Systematic","readability",89505,0.0025,0.0033,0.0216,0.1143,-0.0405,0.0461,0.909,"n.s.",0.012,"n.s.",0.0095,1,1,1
"hotel","Systematic","arousal",89505,-0.0326,-0.033,0.0215,-1.521,-0.0736,0.0087,0.1283,"n.s.",0.085,"***",0.1176,0,0,0
