platform,construct,indicator,n,plspm_weight,plspm_boot_mean,plspm_boot_se,plspm_t_stat,plspm_ci_lo,plspm_ci_hi,plspm_p_value,plspm_sig,smartpls_weight,smartpls_sig,abs_diff,sign_match,sig_match
amazon,Heuristic,rating_deviation,89927,0.5354,0.5393,0.0977,5.4783,0.3219,0.6986,0.0,***,0.574,***,0.0386,1,1
amazon,Heuristic,title_length,89927,0.7735,0.7581,0.0816,9.4735,0.6015,0.9089,0.0,***,0.736,***,0.0375,1,1
amazon,Heuristic,recency,89927,-0.1152,-0.1181,0.073,-1.5769,-0.2672,0.0245,0.1148,n.s.,0.125,n.s.,0.2402,0,1
amazon,Systematic,depth,89927,1.0399,1.0396,0.0132,78.9012,1.0118,1.0639,0.0,***,1.026,***,0.0139,1,1
amazon,Systematic,breadth,89927,0.1161,0.1131,0.024,4.8319,0.0635,0.1562,0.0,***,-0.085,***,0.2011,0,1
amazon,Systematic,readability,89927,0.0282,0.0267,0.0111,2.5316,0.0067,0.0492,0.0114,*,0.044,***,0.0158,1,0
amazon,Systematic,arousal,89927,-0.0608,-0.0605,0.0118,-5.1571,-0.084,-0.0369,0.0,***,-0.026,***,0.0348,1,1
audible,Heuristic,rating_deviation,92989,0.5811,0.5785,0.0485,11.9864,0.484,0.6716,0.0,***,0.582,***,0.0009,1,1
audible,Heuristic,title_length,92989,0.168,0.1673,0.0498,3.3705,0.0708,0.266,0.0008,***,0.142,**,0.026,1,0
audible,Heuristic,recency,92989,0.7517,0.75,0.0405,18.5765,0.6694,0.8249,0.0,***,0.755,***,0.0033,1,1
audible,Systematic,depth,92989,1.0159,1.0139,0.0191,53.0979,0.9754,1.0506,0.0,***,1.028,***,0.0121,1,1
audible,Systematic,breadth,92989,0.051,0.0478,0.0333,1.5329,-0.0219,0.106,0.1253,n.s.,-0.108,***,0.159,0,0
audible,Systematic,readability,92989,0.045,0.0439,0.0191,2.3603,0.0041,0.0801,0.0183,*,0.048,***,0.003,1,0
audible,Systematic,arousal,92989,-0.0582,-0.059,0.0255,-2.2809,-0.1104,-0.011,0.0226,*,-0.034,n.s.,0.0242,1,0
coursera,Heuristic,rating_deviation,121386,0.9863,0.9857,0.0078,127.0092,0.97,1.0006,0.0,***,0.986,***,0.0003,1,1
coursera,Heuristic,recency,121386,0.2274,0.2271,0.0249,9.1209,0.1837,0.2786,0.0,***,0.227,**,0.0004,1,0
coursera,Systematic,depth,121386,1.0033,1.0027,0.0181,55.3194,0.9665,1.0365,0.0,***,1.024,***,0.0207,1,1
coursera,Systematic,breadth,121386,0.0094,0.0078,0.0266,0.3543,-0.0493,0.0561,0.7231,n.s.,-0.159,***,0.1684,0,0
coursera,Systematic,readability,121386,0.0225,0.0226,0.0107,2.1085,0.0007,0.0431,0.035,*,0.042,**,0.0195,1,0
coursera,Systematic,arousal,121386,-0.1252,-0.1256,0.0203,-6.1651,-0.1672,-0.0876,0.0,***,-0.063,***,0.0622,1,1
hotel,Heuristic,rating_deviation,89505,0.9722,0.9709,0.0089,109.0233,0.9533,0.9866,0.0,***,0.919,***,0.0532,1,1
hotel,Heuristic,title_length,89505,0.2145,0.2155,0.0352,6.1014,0.1484,0.2835,0.0,***,0.39,***,0.1755,1,1
hotel,Heuristic,recency,89505,0.0791,0.0782,0.0304,2.6006,0.0161,0.1361,0.0093,**,0.139,***,0.0599,1,0
hotel,Systematic,depth,89505,1.0024,1.0007,0.0179,56.0293,0.965,1.0343,0.0,***,1.04,***,0.0376,1,1
hotel,Systematic,breadth,89505,-0.0034,-0.0059,0.0323,-0.1045,-0.0688,0.0563,0.9168,n.s.,0.251,***,0.2544,0,0
hotel,Systematic,readability,89505,0.0025,0.003,0.0216,0.1143,-0.0404,0.0457,0.909,n.s.,0.012,n.s.,0.0095,1,1
hotel,Systematic,arousal,89505,-0.0326,-0.0326,0.022,-1.4809,-0.0746,0.0109,0.1386,n.s.,0.085,***,0.1176,0,0
