"spec","platform","n_cells","n_sign_match","n_sig_match","footnote"
"a2-a","amazon",4,4,3,""
"a2-a","audible",4,3,4,""
"a2-a","coursera",4,4,4,""
"a2-a","hotel",4,3,2,""
"a2-a","TOTAL",16,14,13,""
"a2-b","amazon",4,4,3,""
"a2-b","audible",4,3,4,""
"a2-b","coursera",4,4,4,""
"a2-b","hotel",4,3,2,""
"a2-b","TOTAL",16,14,13,""
"a2-c","amazon",4,4,3,""
"a2-c","audible",4,3,4,""
"a2-c","coursera",4,4,4,""
"a2-c","hotel",4,3,2,""
"a2-c","TOTAL",16,14,13,""
"d1","amazon",4,4,3,""
"d1","audible",4,3,4,""
"d1","coursera",4,4,4,"Heuristic under D1 is single-indicator (RatingDeviation only); coefficient reflects RatingDeviation effect alone."
"d1","hotel",4,3,2,""
"d1","TOTAL",16,14,13,""
"c4","amazon",2,2,1,""
"c4","audible",2,2,2,""
"c4","coursera",2,2,2,""
"c4","hotel",2,2,1,""
"c4","TOTAL",8,8,6,""
"d2","amazon",4,4,4,""
"d2","audible",4,3,4,""
"d2","coursera",4,4,4,""
"d2","hotel",4,4,3,""
"d2","TOTAL",16,15,15,""
