Helpfulness,Heuristic,Systematic
-0.07,-0.332,0.013
-0.07,1.206,-0.475
0.247,0.925,0.304
-0.07,-1.107,-0.879
-0.07,-0.309,-0.064
-0.07,0.89,2.773
-0.07,-0.638,-0.846
-0.07,-0.452,-0.425
-0.07,-0.483,-0.018
-0.07,-0.819,4.735
-0.07,0.832,-0.852
-0.07,-0.797,-0.212
-0.07,-0.495,-0.405
-0.07,-0.187,-0.271
-0.07,-0.55,-0.641
-0.07,-0.872,-0.25
-0.07,-0.566,1.403
-0.07,-0.759,0.251
-0.07,1.743,0.639
-0.07,0.126,-0.294
-0.07,-0.847,0.021
-0.07,0.175,-0.53
10.413,1.008,3.153
-0.07,-0.249,0.288
-0.07,-0.767,-0.34
-0.07,3.813,-0.178
0.565,0.464,-0.345
-0.07,-0.916,-0.661
-0.07,-0.062,-0.472
-0.07,-0.464,-0.185
-0.07,-0.245,-0.366
-0.07,0.143,-0.798
-0.07,-1.087,-0.468
-0.07,1.312,-0.833
-0.07,-0.083,2.093
-0.07,0.115,0.527
-0.07,0.556,0.51
0.247,0.242,-0.502
-0.07,0.444,-0.195
-0.07,-0.36,-0.174
-0.07,-0.607,0.19
-0.07,0.443,-0.561
0.247,0.425,-0.241
-0.07,-0.596,-0.027
0.247,-0.526,-0.294
-0.07,-0.25,-0.681
-0.07,1.435,1.184
-0.07,-0.37,0.222
-0.07,-0.252,0.161
-0.07,-1.033,-0.199
-0.07,1.135,0.53
-0.07,-0.907,0.222
0.247,-1.07,0.18
-0.07,-1.287,-0.415
-0.07,-0.424,-0.314
-0.07,0.55,-0.496
0.565,0.072,-0.472
-0.07,-1.196,-0.476
0.565,-0.148,-0.32
-0.07,-0.074,-0.237
-0.07,-0.548,-0.29
-0.07,-0.423,0.056
-0.07,-0.754,-0.08
-0.07,0.374,-0.095
-0.07,0.942,0.455
-0.07,-1.012,-0.531
-0.07,-0.064,-0.968
-0.07,-0.538,-0.337
-0.07,-0.473,0.188
-0.07,0.18,1.144
-0.07,-0.449,-0.39
0.247,-0.198,-0.445
-0.07,-0.857,-0.474
-0.07,-0.183,-0.491
-0.07,-0.322,1.858
0.247,-0.092,0.487
-0.07,0.647,-0.354
-0.07,-1.045,-0.487
-0.07,-0.535,2.48
0.247,-1.226,-0.502
-0.07,-0.484,-0.727
-0.07,-1.152,-0.478
-0.07,-0.279,1.838
0.247,-0.459,-0.329
-0.07,-0.934,0.273
-0.07,-0.811,-0.346
-0.07,-0.678,0.188
-0.07,-0.717,-0.334
