Helpfulness,Heuristic,Systematic
87.396,-0.868,0.914
21.137,-0.402,0.151
20.87,-0.558,2.786
4.472,-0.653,1.109
2.606,0.126,0.696
1.939,-0.678,0.083
0.873,0.201,1.55
0.739,0.356,2.088
0.339,0.551,1.324
0.206,-0.739,0.018
0.073,-0.848,0.467
0.073,-0.792,-0.172
0.073,-0.378,-0.574
0.073,-0.712,0.463
0.073,-0.727,-0.064
0.073,-0.727,-0.42
0.073,-0.47,-0.023
0.073,-0.82,0.028
0.073,-0.756,0.581
0.073,-0.875,-0.393
0.073,-0.792,0.033
0.073,-0.705,1.139
0.073,-0.848,-0.654
0.073,-0.895,-0.198
0.073,-0.916,3.166
0.073,-0.576,0.425
0.073,-0.668,-0.137
0.073,-0.769,0.631
0.073,-0.972,-0.196
0.073,-0.912,-0.238
0.073,-0.912,-0.37
0.073,-0.469,-0.468
0.073,-0.705,-0.609
0.073,-0.688,0.117
0.073,-0.718,-0.645
0.073,-0.878,-0.426
0.073,-0.771,-0.5
0.073,-0.754,0.406
0.073,-0.743,1.545
0.073,-0.739,-0.23
0.073,-0.64,-0.201
0.073,-0.447,-0.201
0.073,-0.809,-0.503
0.073,-0.863,-0.724
0.073,-0.913,-0.217
0.073,-0.404,0.415
0.073,-0.332,2.056
0.073,-0.674,1.391
0.073,-0.77,-0.496
0.073,-0.617,-0.21
0.073,-0.767,-0.418
0.073,-0.486,1.639
0.073,-0.785,-0.438
0.073,-0.817,-0.028
0.073,-0.73,1.672
0.073,-0.777,-0.058
0.073,-1.005,0.426
0.073,-0.772,0.639
0.073,-0.885,-0.396
0.073,-0.419,-0.084
0.073,-0.899,0.256
0.073,-0.874,-0.36
0.073,-0.859,-0.599
0.073,-1.041,-0.501
0.073,-0.576,0.434
0.073,-0.666,-0.539
0.073,-0.717,0.523
0.073,-0.325,-0.391
0.073,-0.662,0.817
0.073,-0.9,-0.109
0.073,-0.429,-0.219
0.073,-0.734,-0.319
0.073,-0.993,-0.51
0.073,-0.8,0.955
0.073,-1.046,-0.427
0.073,-1.047,-0.555
0.073,-0.731,0.322
0.073,-0.807,-0.568
0.073,-0.671,-0.169
0.073,-0.781,-0.315
0.073,-0.872,0.034
0.073,-0.651,0.1
0.073,-0.914,-0.642
0.073,-0.94,0.132
0.073,-1.018,-0.552
0.073,-0.624,-0.129
0.073,-0.508,0.574
0.073,-0.853,2.173
0.073,-0.77,-0.177
0.073,-0.836,-0.171
0.073,-0.525,-0.006
0.073,-0.836,-0.228
0.073,-0.619,-0.005
0.073,-0.991,-0.669
0.073,-0.924,0.518
0.073,-0.952,-0.347
0.073,-0.911,-0.101
0.073,-0.701,0.232
0.073,-0.887,-0.074
0.073,-0.613,1.013
0.073,-0.989,-0.057
0.073,-0.798,-0.63
0.073,-0.804,0.205
0.073,-0.587,1.05
0.073,-0.621,-0.109
0.073,-1.648,-0.558
-0.061,-0.49,2.921
-0.061,-0.26,1.67
-0.061,0.01,-0.594
-0.061,-0.662,-0.325
-0.061,-0.742,0.792
-0.061,-0.771,0.95
-0.061,-0.862,-0.374
-0.061,-0.869,-0.589
-0.061,-0.67,0.008
-0.061,-0.479,-0.468
-0.061,-0.853,0.193
-0.061,-0.764,1.08
-0.061,-0.704,-0.303
-0.061,-0.782,-0.172
-0.061,-0.787,0.149
-0.061,0.121,0.106
-0.061,-0.507,0.735
-0.061,-0.98,-0.099
-0.061,-0.63,-0.23
-0.061,-0.92,0.048
-0.061,-0.622,0.32
-0.061,-0.611,0.82
-0.061,-0.752,0.84
-0.061,-0.341,1.644
-0.061,-0.796,0.306
-0.061,-0.576,0.25
-0.061,-0.786,-0.557
-0.061,-0.981,-0.37
-0.061,-1.032,0.102
-0.061,-0.778,-0.323
-0.061,-0.612,-0.146
-0.061,-0.431,0.45
-0.061,-0.781,0.118
-0.061,-0.565,-0.152
-0.061,-0.606,-0.205
-0.061,-0.886,-0.446
-0.061,-0.005,-0.41
-0.061,-0.755,-0.105
-0.061,-0.564,0.001
-0.061,-0.547,-0.452
-0.061,-0.719,1.536
-0.061,-0.679,2.564
-0.061,-0.85,1.747
-0.061,-0.754,-0.683
-0.061,0.273,0
-0.061,-0.78,0.271
-0.061,-0.949,0.264
-0.061,-0.443,-0.491
-0.061,-0.55,-0.438
-0.061,-0.785,-0.31
-0.061,-1.004,-0.421
-0.061,-0.4,0.709
-0.061,-0.928,-0.636
-0.061,-0.838,-0.462
-0.061,-0.838,0.12
-0.061,-0.72,-0.191
-0.061,-0.897,-0.793
-0.061,-0.885,-0.135
-0.061,-0.818,-0.504
-0.061,-0.367,0.024
-0.061,-0.842,0.081
-0.061,-0.893,-0.395
-0.061,-0.777,-0.277
-0.061,-0.904,0.681
-0.061,-0.829,-0.476
-0.061,-0.758,2.529
-0.061,-0.751,-0.44
-0.061,-0.875,0.045
-0.061,-0.708,-0.48
-0.061,0.445,-0.494
-0.061,-0.695,-0.274
-0.061,-0.914,-0.657
-0.061,-0.529,-0.475
-0.061,-0.666,-0.131
-0.061,-0.718,0.063
-0.061,0.339,-0.37
-0.061,-0.948,-0.399
-0.061,0.4,0.872
-0.061,-0.487,1.147
-0.061,-0.884,-0.384
-0.061,-0.559,0.141
-0.061,-0.503,-0.255
-0.061,-0.507,-0.034
-0.061,-0.794,-0.234
-0.061,-0.916,-0.473
-0.061,-0.805,-0.436
-0.061,-0.608,0.128
-0.061,-0.858,-0.462
-0.061,-0.891,1.032
-0.061,-0.381,-0.422
-0.061,0.417,0.33
-0.061,-0.62,-0.248
-0.061,-0.527,0.058
-0.061,-0.838,-0.694
-0.061,-0.388,0.787
-0.061,-0.815,0.071
-0.061,-0.937,-0.336
-0.061,-0.968,0.463
-0.061,-0.538,-0.313
-0.061,-0.541,-0.31
-0.061,-0.491,-0.067
-0.061,-0.786,-0.075
-0.061,-0.698,-0.092
-0.061,-0.829,-0.298
-0.061,-0.766,-0.615
-0.061,0.153,-0.513
-0.061,-0.474,0.061
-0.061,-0.555,0.807
-0.061,0.416,2.129
-0.061,-0.81,-0.112
-0.061,-1.084,-0.497
-0.061,-0.934,-0.312
-0.061,-0.926,-0.555
-0.061,-0.872,-0.477
-0.061,-0.703,-0.322
-0.061,-0.717,-0.641
-0.061,-0.851,-0.473
-0.061,-0.828,-0.242
-0.061,-0.217,0.086
-0.061,-0.567,-0.459
-0.061,-0.533,-0.368
-0.061,0.747,5.404
-0.061,-0.876,-0.311
-0.061,-0.753,0.094
-0.061,-0.429,-0.018
-0.061,-0.533,-0.526
-0.061,-0.839,0.926
-0.061,-0.792,0.474
-0.061,-0.524,-0.452
-0.061,-0.75,-0.388
-0.061,0.256,-0.22
-0.061,0.384,0.534
-0.061,-0.756,-0.246
-0.061,0.15,1.603
-0.061,0.158,-0.542
-0.061,-0.591,0.747
-0.061,-0.859,0.178
-0.061,-0.902,0.274
-0.061,-0.687,-0.388
-0.061,-0.351,-0.155
-0.061,-0.732,-0.487
-0.061,-0.81,-0.519
-0.061,-0.925,-0.512
-0.061,-0.872,-0.531
-0.061,-0.77,-0.489
-0.061,-0.948,-0.188
-0.061,-0.761,-0.39
