Helpfulness,Heuristic,Systematic
25.554,-0.668,0.337
20.806,-0.648,0.462
19.382,-0.646,0.266
15.109,-0.716,0.305
11.311,-0.647,-0.013
9.887,-0.695,0.597
8.463,6.407,-0.398
4.19,-0.653,21.544
4.19,2.492,0.183
3.715,-0.655,0.083
3.715,-0.644,0.291
3.241,6.406,-0.073
2.766,6.415,0.692
2.291,-0.609,2.423
2.291,0.534,-0.069
1.816,-0.63,1.873
1.342,-0.651,16.848
1.342,-0.611,0.472
1.342,-0.645,0.216
1.342,-0.643,-0.247
1.342,-0.644,-0.342
1.342,0.532,-0.328
1.342,4.396,9.556
0.867,-0.649,16.333
0.867,-0.645,12.878
0.867,-0.654,4.732
0.867,-0.649,2.598
0.867,-0.661,0.263
0.867,0.409,-0.589
0.867,2.473,-0.261
0.867,6.337,-0.096
0.392,-0.653,8.876
0.392,-0.716,2.071
0.392,-0.677,0.3
0.392,-0.715,0.566
0.392,-0.664,0.334
0.392,0.505,4.675
0.392,2.472,0.807
0.392,2.401,-0.072
0.392,2.404,-0.177
0.392,6.397,0.323
0.392,6.347,0.453
0.392,6.265,-0.433
-0.083,-0.73,22.332
-0.083,-0.79,21.028
-0.083,-0.791,16.527
-0.083,-0.803,20.222
-0.083,-0.693,11.958
-0.083,-0.707,11.265
-0.083,-0.788,10.35
-0.083,-0.672,9.502
-0.083,-0.701,8.688
-0.083,-0.645,7.299
-0.083,-0.768,7.026
-0.083,-0.613,7.053
-0.083,-0.683,6.684
-0.083,-0.649,6.794
-0.083,-0.725,6.363
-0.083,-0.663,5.532
-0.083,-0.713,5.065
-0.083,-0.651,5.295
-0.083,-0.674,5.052
-0.083,-0.725,4.715
-0.083,-0.709,4.845
-0.083,-0.754,4.942
-0.083,-0.766,5.012
-0.083,-0.658,4.444
-0.083,-0.731,4.151
-0.083,-0.733,3.662
-0.083,-0.676,3.318
-0.083,-0.678,3.778
-0.083,-0.667,3.903
-0.083,-0.782,4.047
-0.083,-0.727,3.675
-0.083,-0.708,3.351
-0.083,-0.674,3.939
-0.083,-0.762,3.733
-0.083,-0.667,3.051
-0.083,-0.664,2.645
-0.083,-0.675,2.801
-0.083,-0.66,3.238
-0.083,-0.672,6.334
-0.083,-0.761,3.302
-0.083,-0.688,3.031
-0.083,-0.697,2.944
-0.083,-0.659,2.723
-0.083,-0.662,2.885
-0.083,-0.797,2.912
-0.083,-0.668,2.616
-0.083,-0.755,2.664
-0.083,-0.682,2.809
-0.083,-0.668,2.516
-0.083,-0.795,3.169
-0.083,-0.669,2.135
-0.083,-0.662,2.648
-0.083,-0.703,2.469
-0.083,-0.683,2.548
-0.083,-0.748,2.12
-0.083,-0.662,2.507
-0.083,-0.792,2.295
-0.083,-0.698,2.503
-0.083,-0.722,2.349
-0.083,-0.709,2.445
-0.083,-0.712,2.293
-0.083,-0.776,2.326
-0.083,-0.752,2.21
-0.083,-0.792,2.524
-0.083,-0.687,2.076
-0.083,-0.794,1.906
-0.083,-0.679,1.873
-0.083,-0.771,1.723
-0.083,-0.647,2.163
-0.083,-0.796,3.695
-0.083,-0.674,1.751
-0.083,-0.684,1.919
-0.083,-0.683,2.039
-0.083,-0.812,1.917
-0.083,-0.731,1.865
-0.083,-0.79,2.033
-0.083,-0.662,1.871
-0.083,-0.675,1.441
-0.083,-0.702,2.093
-0.083,-0.666,1.432
-0.083,-0.694,1.643
-0.083,-0.676,1.589
-0.083,-0.677,1.646
-0.083,-0.671,1.388
-0.083,-0.81,1.906
-0.083,-0.654,1.824
-0.083,-0.653,1.825
-0.083,-0.716,1.689
-0.083,-0.677,1.815
-0.083,-0.784,1.401
-0.083,-0.663,1.383
-0.083,-0.654,1.524
-0.083,-0.773,1.322
-0.083,-0.672,1.321
-0.083,-0.721,1.388
-0.083,-0.722,1.435
-0.083,-0.658,1.277
-0.083,-0.688,1.511
-0.083,-0.66,1.343
-0.083,-0.738,1.199
-0.083,-0.7,1.251
-0.083,-0.648,1.572
-0.083,-0.654,1.44
-0.083,-0.717,1.523
-0.083,-0.706,1.404
-0.083,-0.643,1.329
-0.083,-0.674,1.376
-0.083,-0.662,1.236
-0.083,-0.707,1.498
-0.083,-0.662,1.23
-0.083,-0.731,1.277
-0.083,-0.653,1.114
-0.083,-0.738,1.161
-0.083,-0.669,1.219
-0.083,-0.79,1.579
-0.083,-0.611,1.34
-0.083,-0.727,1.175
-0.083,-0.664,1.185
-0.083,-0.664,1.177
-0.083,-0.727,1.579
-0.083,-0.671,1.656
-0.083,-0.648,1.384
-0.083,-0.8,1.271
-0.083,-0.694,1.192
-0.083,-0.712,1.227
-0.083,-0.767,1.566
-0.083,-0.697,1.396
-0.083,-0.661,1.445
-0.083,-0.657,1.217
-0.083,-0.693,1.073
-0.083,-0.654,0.876
-0.083,-0.654,0.906
-0.083,-0.733,1.273
-0.083,-0.649,0.833
-0.083,-0.743,1.148
-0.083,-0.685,1.143
-0.083,-0.679,1.124
-0.083,-0.686,1.333
-0.083,-0.746,1.311
-0.083,-0.805,1.428
-0.083,-0.66,1.179
-0.083,-0.741,0.971
-0.083,-0.695,0.946
-0.083,-0.668,0.966
-0.083,-0.723,1.118
-0.083,-0.737,1.364
-0.083,-0.648,1.335
-0.083,-0.803,1.223
-0.083,-0.722,1.046
-0.083,-0.716,1.056
-0.083,-0.66,0.792
-0.083,-0.724,1.032
-0.083,-0.766,1.357
-0.083,-0.682,0.978
-0.083,-0.644,1.05
-0.083,-0.717,1.048
-0.083,-0.682,1.249
-0.083,-0.791,0.819
-0.083,-0.669,0.753
-0.083,-0.662,0.996
-0.083,-0.785,1.152
-0.083,-0.784,1.324
-0.083,-0.744,1.068
-0.083,-0.704,0.913
-0.083,-0.677,0.954
-0.083,-0.662,1.128
-0.083,-0.787,0.565
-0.083,-0.663,0.709
-0.083,-0.648,0.855
-0.083,-0.649,1.127
-0.083,-0.674,1.039
-0.083,-0.652,0.805
-0.083,-0.752,0.906
-0.083,-0.774,1.211
-0.083,-0.714,0.996
-0.083,-0.67,0.581
-0.083,-0.779,0.872
-0.083,-0.681,1.045
-0.083,-0.668,1.106
-0.083,-0.665,1.254
-0.083,-0.664,0.554
-0.083,-0.648,1.082
-0.083,-0.652,1.018
-0.083,-0.732,0.789
-0.083,-0.659,0.941
-0.083,-0.681,0.87
-0.083,-0.656,0.679
-0.083,-0.676,0.841
-0.083,-0.669,1.118
-0.083,-0.734,0.925
-0.083,-0.681,0.651
-0.083,-0.68,0.707
-0.083,-0.776,1.137
-0.083,-0.661,0.965
-0.083,-0.66,0.642
-0.083,-0.659,0.841
-0.083,-0.649,0.825
-0.083,-0.683,0.568
-0.083,-0.801,1.088
-0.083,-0.782,0.693
-0.083,-0.731,1.009
-0.083,-0.708,0.641
-0.083,-0.696,0.557
-0.083,-0.67,0.753
-0.083,-0.666,0.954
-0.083,-0.661,0.744
-0.083,-0.733,0.938
-0.083,-0.647,0.66
-0.083,-0.68,0.604
-0.083,-0.68,0.619
-0.083,-0.673,0.583
-0.083,-0.661,1.144
-0.083,-0.812,0.695
-0.083,-0.688,1.08
-0.083,-0.683,0.68
-0.083,-0.797,0.8
-0.083,-0.697,0.993
-0.083,-0.66,0.935
-0.083,-0.667,0.932
-0.083,-0.675,0.441
-0.083,-0.646,0.842
-0.083,-0.673,0.618
-0.083,-0.664,0.742
-0.083,-0.664,1.157
-0.083,-0.684,0.422
-0.083,-0.677,0.612
-0.083,-0.611,0.939
-0.083,-0.784,0.691
-0.083,-0.751,0.81
-0.083,-0.691,0.765
-0.083,-0.667,0.606
-0.083,-0.655,0.465
-0.083,-0.758,1.282
-0.083,-0.72,0.819
-0.083,-0.686,0.882
-0.083,-0.677,0.613
-0.083,-0.649,0.836
-0.083,-0.644,0.621
-0.083,-0.657,0.851
-0.083,-0.653,0.692
-0.083,-0.78,0.477
-0.083,-0.68,0.444
-0.083,-0.667,0.953
-0.083,-0.784,0.486
-0.083,-0.718,0.773
-0.083,-0.672,0.482
-0.083,-0.649,0.645
-0.083,-0.796,0.531
-0.083,-0.793,0.547
-0.083,-0.705,0.572
-0.083,-0.665,0.671
-0.083,-0.661,0.757
-0.083,-0.715,0.527
-0.083,-0.648,0.614
-0.083,-0.678,0.744
-0.083,-0.665,0.539
-0.083,-0.65,0.597
-0.083,-0.662,0.652
-0.083,-0.659,0.442
-0.083,-0.652,0.781
-0.083,-0.739,0.779
-0.083,-0.733,0.679
-0.083,-0.715,0.615
-0.083,-0.715,0.678
-0.083,-0.669,0.903
-0.083,-0.666,0.381
-0.083,-0.66,0.774
-0.083,-0.609,0.542
-0.083,-0.735,0.559
-0.083,-0.65,0.256
-0.083,-0.677,0.717
-0.083,-0.794,2.254
-0.083,-0.652,0.305
-0.083,-0.789,0.532
-0.083,-0.653,0.547
-0.083,-0.693,0.722
-0.083,-0.663,0.429
-0.083,-0.747,0.945
-0.083,-0.722,0.368
-0.083,-0.737,0.777
-0.083,-0.657,0.535
-0.083,-0.675,0.762
-0.083,-0.658,0.761
-0.083,-0.798,0.542
-0.083,-0.692,0.632
-0.083,-0.783,0.62
-0.083,-0.694,0.665
-0.083,-0.663,0.87
-0.083,-0.652,0.592
-0.083,-0.645,0.514
-0.083,-0.677,0.32
-0.083,-0.65,0.738
-0.083,-0.697,0.346
-0.083,-0.692,0.579
