Helpfulness,Heuristic,Systematic
-0.286,-1.439,-0.71
-0.286,-0.467,0.394
-0.286,-0.387,0.359
-0.286,-0.865,-0.747
-0.286,-0.259,-0.533
-0.286,-0.323,0.684
-0.286,-1.533,-0.39
-0.286,-1.302,-0.73
-0.286,-0.402,-0.249
-0.286,0.028,0.299
-0.286,-0.171,1.395
-0.286,-0.004,-0.267
-0.286,-0.465,3.195
-0.286,-0.195,-0.654
-0.286,-0.465,0.123
2.365,-0.505,0.385
-0.286,-0.505,-0.469
-0.286,-1.532,0.944
-0.286,-0.505,-0.015
-0.286,-1.324,-0.798
-0.286,-0.504,-0.88
-0.286,-1.285,-0.36
-0.286,-0.624,-0.403
-0.286,-1.356,0.016
-0.286,-0.393,-0.479
-0.286,0.149,-0.686
-0.286,-1.499,0.954
-0.286,-0.504,0.412
-0.286,-1.531,-0.922
-0.286,-0.416,-0.463
-0.286,-0.026,0.347
-0.286,-0.304,1.176
-0.286,-1.466,-0.786
-0.286,-0.503,-0.554
-0.286,-1.219,1.457
-0.286,-1.53,-0.867
-0.286,-1.529,0.675
-0.286,-0.462,2.635
-0.286,-0.167,-0.182
-0.286,-1.497,0.079
-0.286,-0.175,-0.412
-0.286,-1.529,-0.947
-0.286,-0.82,0.209
-0.286,-0.247,-0.118
-0.286,-0.501,-0.329
-0.286,-1.377,-0.543
-0.286,0.064,0.238
-0.286,-1.329,-0.702
-0.286,-0.421,-0.827
-0.286,-0.413,-0.906
-0.286,-0.246,1.176
-0.286,0.113,-0.556
-0.286,-1.527,-0.879
-0.286,-0.317,-0.251
-0.286,-0.5,-0.3
-0.286,-1.527,-0.767
-0.286,0.121,-0.243
-0.286,-0.954,0.051
-0.286,-0.46,-0.208
-0.286,-0.046,-0.306
-0.286,-1.376,0.484
-0.286,-0.196,-0.721
-0.286,-1,-0.432
-0.286,-0.132,-0.221
-0.286,-0.459,0.057
-0.286,-1.111,-0.681
-0.286,-0.394,-0.272
-0.286,-0.028,0.181
-0.286,-0.442,-0.508
-0.286,-0.267,-0.068
-0.286,-1.492,-0.292
-0.286,-0.497,-0.202
-0.286,-1.373,-0.262
-0.286,-1.524,-0.218
-0.286,-0.457,-0.024
-0.286,-1.349,-0.936
-0.286,-0.393,-0.073
-0.286,-1.413,0.939
-0.286,-0.035,0.242
-0.286,-0.823,0.406
-0.286,-0.496,-0.215
-0.286,0.26,0.19
-0.286,-0.416,-0.617
-0.286,-1.332,-0.927
-0.286,0.165,1.584
-0.286,-1.379,1.877
-0.286,-0.455,-0.427
-0.286,-0.455,0.243
-0.286,-0.296,0.948
-0.286,-0.495,-0.525
-0.286,-0.494,-0.663
-0.286,-0.455,-0.85
-0.286,-1.434,-0.63
-0.286,0,-0.716
-0.286,-0.454,-0.78
-0.286,-1.036,-0.723
-0.286,-0.454,0.017
-0.286,-0.494,-0.677
-0.286,0.43,-0.563
-0.286,0.04,-0.507
-0.286,-0.494,-0.443
-0.286,-0.359,0.15
-0.286,-0.374,0.542
-0.286,-0.207,0.897
-0.286,-0.494,-0.349
-0.286,-0.446,1.057
-0.286,-0.931,2.006
-0.286,-0.358,-0.318
-0.286,-0.175,-0.497
2.365,-0.493,0.351
-0.286,-0.453,-0.581
-0.286,-1.52,-0.634
-0.286,-1.456,-0.373
-0.286,-1.28,0.567
-0.286,-0.3,-0.845
-0.286,-0.452,-0.374
-0.286,-0.492,-0.668
-0.286,-0.205,0.316
-0.286,-1.518,-0.79
-0.286,-1.12,-0.786
-0.286,-0.173,2.028
-0.286,-0.372,-0.702
-0.286,-0.204,-0.463
-0.286,-0.491,-0.381
-0.286,-1.263,0.947
-0.286,-0.005,0.996
-0.286,-0.061,2.018
-0.286,-0.443,-0.512
-0.286,-1.255,0.527
-0.286,-1.478,2.376
-0.286,-0.49,1.221
-0.286,-0.283,1.635
-0.286,-1.286,-0.58
-0.286,-0.45,-0.508
-0.286,-0.45,-0.097
-0.286,-0.49,-0.109
-0.286,-0.33,-0.091
-0.286,-0.147,-0.585
-0.286,-0.489,-0.369
-0.286,-1.381,-0.493
-0.286,-1.19,-0.783
-0.286,-1.405,-0.655
-0.286,-0.449,-0.796
-0.286,0.251,-0.618
2.365,-0.035,0.441
-0.286,-1.309,-0.008
-0.286,-1.516,1.939
-0.286,-0.082,6.721
-0.286,-1.516,-0.503
-0.286,-0.448,-0.322
-0.286,-0.448,-0.581
-0.286,-1.515,-0.154
2.365,-1.07,0.1
-0.286,-1.475,0.169
-0.286,0.244,1.161
-0.286,-0.488,-0.3
2.365,-1.196,7.521
-0.286,-0.448,-0.384
