Helpfulness,Heuristic,Systematic
-0.07,-0.332,0.086
-0.07,1.206,-0.575
0.247,0.925,0.28
-0.07,-1.107,-0.851
-0.07,-0.309,-0.119
-0.07,0.89,2.78
-0.07,-0.638,-0.574
-0.07,-0.452,-0.226
-0.07,-0.483,0.025
-0.07,-0.819,4.727
-0.07,0.832,-0.894
-0.07,-0.797,-0.28
-0.07,-0.495,-0.462
-0.07,-0.187,-0.217
-0.07,-0.55,-0.531
-0.07,-0.872,-0.315
-0.07,-0.566,1.348
-0.07,-0.759,0.331
-0.07,1.743,0.629
-0.07,0.126,-0.358
-0.07,-0.847,-0.052
-0.07,0.175,-0.439
10.413,1.008,3.115
-0.07,-0.249,0.281
-0.07,-0.767,-0.327
-0.07,3.813,-0.366
0.565,0.464,-0.416
-0.07,-0.916,-0.581
-0.07,-0.062,-0.509
-0.07,-0.464,-0.369
-0.07,-0.245,-0.402
-0.07,0.143,-0.813
-0.07,-1.087,-0.559
-0.07,1.312,-0.867
-0.07,-0.083,2
-0.07,0.115,0.435
-0.07,0.556,0.431
0.247,0.242,-0.588
-0.07,0.444,-0.161
-0.07,-0.36,-0.156
-0.07,-0.607,0.247
-0.07,0.443,-0.552
0.247,0.425,-0.21
-0.07,-0.596,-0.146
0.247,-0.526,-0.286
-0.07,-0.25,-0.368
-0.07,1.435,1.206
-0.07,-0.37,0.135
-0.07,-0.252,0.165
-0.07,-1.033,-0.34
-0.07,1.135,0.52
-0.07,-0.907,0.108
0.247,-1.07,0.247
-0.07,-1.287,-0.567
-0.07,-0.424,-0.27
-0.07,0.55,-0.439
0.565,0.072,-0.653
-0.07,-1.196,-0.672
0.565,-0.148,-0.426
-0.07,-0.074,-0.374
-0.07,-0.548,-0.278
-0.07,-0.423,0.11
-0.07,-0.754,-0.088
-0.07,0.374,-0.13
-0.07,0.942,0.301
-0.07,-1.012,-0.56
-0.07,-0.064,-1.025
-0.07,-0.538,-0.462
-0.07,-0.473,0.197
-0.07,0.18,1.112
-0.07,-0.449,-0.501
0.247,-0.198,-0.494
-0.07,-0.857,-0.61
