Helpfulness,Heuristic,Systematic
87.396,-0.868,0.856
21.137,-0.402,0.068
20.87,-0.558,2.772
4.472,-0.653,1.129
2.606,0.126,0.718
1.939,-0.678,0.031
0.873,0.201,1.554
0.739,0.356,2.078
0.339,0.551,1.379
0.206,-0.739,-0.06
0.073,-0.848,0.45
0.073,-0.792,-0.234
0.073,-0.378,-0.587
0.073,-0.712,0.487
0.073,-0.727,-0.047
0.073,-0.727,-0.351
0.073,-0.47,0.001
0.073,-0.82,0.022
0.073,-0.756,0.505
0.073,-0.875,-0.378
0.073,-0.792,-0.012
0.073,-0.705,1.079
0.073,-0.848,-0.585
0.073,-0.895,-0.181
0.073,-0.916,3.175
0.073,-0.576,0.364
0.073,-0.668,-0.069
0.073,-0.769,0.591
0.073,-0.972,-0.2
0.073,-0.912,-0.296
0.073,-0.912,-0.403
0.073,-0.469,-0.387
0.073,-0.705,-0.718
0.073,-0.688,0.075
0.073,-0.718,-0.695
0.073,-0.878,-0.467
0.073,-0.771,-0.414
0.073,-0.754,0.514
0.073,-0.743,1.626
0.073,-0.739,-0.288
0.073,-0.64,-0.208
0.073,-0.447,-0.171
0.073,-0.809,-0.451
0.073,-0.863,-0.616
0.073,-0.913,-0.316
0.073,-0.404,0.4
0.073,-0.332,2
0.073,-0.674,1.352
0.073,-0.77,-0.521
0.073,-0.617,-0.312
0.073,-0.767,-0.454
0.073,-0.486,1.604
0.073,-0.785,-0.463
0.073,-0.817,-0.076
0.073,-0.73,1.637
0.073,-0.777,-0.093
0.073,-1.005,0.416
0.073,-0.772,0.601
0.073,-0.885,-0.421
0.073,-0.419,-0.112
0.073,-0.899,0.234
0.073,-0.874,-0.443
0.073,-0.859,-0.74
0.073,-1.041,-0.49
0.073,-0.576,0.464
0.073,-0.666,-0.534
0.073,-0.717,0.468
0.073,-0.325,-0.422
0.073,-0.662,0.871
0.073,-0.9,-0.068
0.073,-0.429,-0.023
0.073,-0.734,-0.275
0.073,-0.993,-0.55
0.073,-0.8,0.915
0.073,-1.046,-0.479
0.073,-1.047,-0.405
0.073,-0.731,0.393
0.073,-0.807,-0.355
0.073,-0.671,-0.186
0.073,-0.781,-0.211
0.073,-0.872,0.089
0.073,-0.651,0.129
0.073,-0.914,-0.685
0.073,-0.94,0.283
0.073,-1.018,-0.541
0.073,-0.624,-0.263
0.073,-0.508,0.58
0.073,-0.853,2.106
0.073,-0.77,-0.074
0.073,-0.836,-0.181
0.073,-0.525,-0.02
0.073,-0.836,-0.143
0.073,-0.619,0.048
0.073,-0.991,-0.668
0.073,-0.924,0.432
0.073,-0.952,-0.353
0.073,-0.911,-0.195
0.073,-0.701,0.196
0.073,-0.887,-0.148
0.073,-0.613,0.983
0.073,-0.989,-0.074
0.073,-0.798,-0.418
0.073,-0.804,0.178
0.073,-0.587,1.103
0.073,-0.621,0.055
0.073,-1.648,-0.453
-0.061,-0.49,2.921
-0.061,-0.26,1.627
-0.061,0.01,-0.588
-0.061,-0.662,-0.335
-0.061,-0.742,0.773
-0.061,-0.771,0.91
-0.061,-0.862,-0.387
-0.061,-0.869,-0.675
-0.061,-0.67,0.078
-0.061,-0.479,-0.489
-0.061,-0.853,0.271
-0.061,-0.764,1.036
-0.061,-0.704,-0.309
-0.061,-0.782,-0.087
-0.061,-0.787,0.201
-0.061,0.121,0.06
-0.061,-0.507,0.62
-0.061,-0.98,-0.038
-0.061,-0.63,-0.311
-0.061,-0.92,0.039
-0.061,-0.622,0.32
-0.061,-0.611,0.761
-0.061,-0.752,0.803
-0.061,-0.341,1.612
-0.061,-0.796,0.304
-0.061,-0.576,0.234
-0.061,-0.786,-0.556
-0.061,-0.981,-0.446
-0.061,-1.032,0.031
-0.061,-0.778,-0.373
-0.061,-0.612,-0.15
-0.061,-0.431,0.525
-0.061,-0.781,0.074
-0.061,-0.565,-0.197
-0.061,-0.606,-0.313
-0.061,-0.886,-0.445
-0.061,-0.005,-0.372
-0.061,-0.755,-0.217
-0.061,-0.564,-0.015
-0.061,-0.547,-0.505
-0.061,-0.719,1.511
-0.061,-0.679,2.534
-0.061,-0.85,1.693
-0.061,-0.754,-0.536
-0.061,0.273,-0.019
-0.061,-0.78,0.225
-0.061,-0.949,0.195
-0.061,-0.443,-0.555
-0.061,-0.55,-0.312
-0.061,-0.785,-0.312
-0.061,-1.004,-0.488
-0.061,-0.4,0.685
-0.061,-0.928,-0.694
-0.061,-0.838,-0.449
-0.061,-0.838,0.062
-0.061,-0.72,-0.263
-0.061,-0.897,-0.832
-0.061,-0.885,-0.203
-0.061,-0.818,-0.605
-0.061,-0.367,0.01
-0.061,-0.842,0.058
-0.061,-0.893,-0.365
-0.061,-0.777,-0.339
-0.061,-0.904,0.628
-0.061,-0.829,-0.439
-0.061,-0.758,2.516
-0.061,-0.751,-0.466
-0.061,-0.875,0.061
-0.061,-0.708,-0.387
-0.061,0.445,-0.496
-0.061,-0.695,-0.211
-0.061,-0.914,-0.635
-0.061,-0.529,-0.453
-0.061,-0.666,-0.208
