Helpfulness,Heuristic,Systematic
25.554,-0.668,0.349
20.806,-0.648,0.453
19.382,-0.646,0.264
15.109,-0.716,0.262
11.311,-0.647,0.014
9.887,-0.695,0.603
8.463,6.407,-0.386
4.19,-0.653,21.241
4.19,2.492,0.233
3.715,-0.655,0.105
3.715,-0.644,0.276
3.241,6.406,-0.035
2.766,6.415,0.726
2.291,-0.609,2.424
2.291,0.534,-0.01
1.816,-0.63,1.875
1.342,-0.651,16.626
1.342,-0.611,0.484
1.342,-0.645,0.215
1.342,-0.643,-0.28
1.342,-0.644,-0.339
1.342,0.532,-0.382
1.342,4.396,9.441
0.867,-0.649,16.121
0.867,-0.645,12.723
0.867,-0.654,4.719
0.867,-0.649,2.602
0.867,-0.661,0.288
0.867,0.409,-0.564
0.867,2.473,-0.187
0.867,6.337,-0.111
0.392,-0.653,8.795
0.392,-0.716,2.081
0.392,-0.677,0.312
0.392,-0.715,0.617
0.392,-0.664,0.345
0.392,0.505,4.631
0.392,2.472,0.771
0.392,2.401,-0.022
0.392,2.404,-0.214
0.392,6.397,0.364
0.392,6.347,0.481
0.392,6.265,-0.463
-0.083,-0.73,22.005
-0.083,-0.79,20.685
-0.083,-0.791,16.308
-0.083,-0.803,19.833
-0.083,-0.693,11.824
-0.083,-0.707,11.138
-0.083,-0.788,10.225
-0.083,-0.672,9.401
-0.083,-0.701,8.603
-0.083,-0.645,7.241
-0.083,-0.768,6.956
-0.083,-0.613,6.988
-0.083,-0.683,6.623
-0.083,-0.649,6.741
-0.083,-0.725,6.302
-0.083,-0.663,5.514
-0.083,-0.713,5.044
-0.083,-0.651,5.261
-0.083,-0.674,5.042
-0.083,-0.725,4.701
-0.083,-0.709,4.827
-0.083,-0.754,4.931
-0.083,-0.766,4.979
-0.083,-0.658,4.401
-0.083,-0.731,4.144
-0.083,-0.733,3.646
-0.083,-0.676,3.328
-0.083,-0.678,3.768
-0.083,-0.667,3.89
-0.083,-0.782,4.037
-0.083,-0.727,3.682
-0.083,-0.708,3.344
-0.083,-0.674,3.918
-0.083,-0.762,3.713
-0.083,-0.667,3.062
-0.083,-0.664,2.667
-0.083,-0.675,2.799
-0.083,-0.66,3.252
-0.083,-0.672,6.2
-0.083,-0.761,3.293
-0.083,-0.688,3.043
-0.083,-0.697,2.952
-0.083,-0.659,2.746
-0.083,-0.662,2.886
-0.083,-0.797,2.907
-0.083,-0.668,2.629
-0.083,-0.755,2.65
-0.083,-0.682,2.811
-0.083,-0.668,2.499
-0.083,-0.795,3.136
-0.083,-0.669,2.158
-0.083,-0.662,2.635
-0.083,-0.703,2.483
-0.083,-0.683,2.55
-0.083,-0.748,2.138
-0.083,-0.662,2.512
-0.083,-0.792,2.308
-0.083,-0.698,2.529
-0.083,-0.722,2.354
-0.083,-0.709,2.461
-0.083,-0.712,2.309
-0.083,-0.776,2.261
-0.083,-0.752,2.199
-0.083,-0.792,2.509
-0.083,-0.687,2.089
-0.083,-0.794,1.917
-0.083,-0.679,1.916
-0.083,-0.771,1.73
-0.083,-0.647,2.178
-0.083,-0.796,3.577
-0.083,-0.674,1.771
-0.083,-0.684,1.93
-0.083,-0.683,2.029
-0.083,-0.812,1.899
-0.083,-0.731,1.877
-0.083,-0.79,2.064
-0.083,-0.662,1.886
-0.083,-0.675,1.462
-0.083,-0.702,2.094
-0.083,-0.666,1.46
-0.083,-0.694,1.664
-0.083,-0.676,1.599
-0.083,-0.677,1.653
-0.083,-0.671,1.404
-0.083,-0.81,1.888
-0.083,-0.654,1.83
-0.083,-0.653,1.81
-0.083,-0.716,1.705
-0.083,-0.677,1.807
-0.083,-0.784,1.397
-0.083,-0.663,1.399
-0.083,-0.654,1.541
-0.083,-0.773,1.334
-0.083,-0.672,1.307
-0.083,-0.721,1.418
-0.083,-0.722,1.471
-0.083,-0.658,1.273
-0.083,-0.688,1.549
-0.083,-0.66,1.347
-0.083,-0.738,1.247
-0.083,-0.7,1.247
-0.083,-0.648,1.566
-0.083,-0.654,1.441
-0.083,-0.717,1.559
-0.083,-0.706,1.437
-0.083,-0.643,1.371
-0.083,-0.674,1.374
-0.083,-0.662,1.279
-0.083,-0.707,1.504
-0.083,-0.662,1.27
-0.083,-0.731,1.307
-0.083,-0.653,1.147
-0.083,-0.738,1.172
-0.083,-0.669,1.182
-0.083,-0.79,1.612
-0.083,-0.611,1.347
-0.083,-0.727,1.173
-0.083,-0.664,1.211
-0.083,-0.664,1.209
-0.083,-0.727,1.584
-0.083,-0.671,1.686
-0.083,-0.648,1.391
-0.083,-0.8,1.305
-0.083,-0.694,1.179
-0.083,-0.712,1.253
-0.083,-0.767,1.582
-0.083,-0.697,1.402
-0.083,-0.661,1.472
-0.083,-0.657,1.263
-0.083,-0.693,1.095
-0.083,-0.654,0.86
-0.083,-0.654,0.911
-0.083,-0.733,1.317
-0.083,-0.649,0.878
-0.083,-0.743,1.189
-0.083,-0.685,1.123
-0.083,-0.679,1.128
-0.083,-0.686,1.332
-0.083,-0.746,1.349
-0.083,-0.805,1.447
-0.083,-0.66,1.175
-0.083,-0.741,1
-0.083,-0.695,0.967
-0.083,-0.668,0.999
-0.083,-0.723,1.121
-0.083,-0.737,1.357
-0.083,-0.648,1.339
-0.083,-0.803,1.243
-0.083,-0.722,1.09
-0.083,-0.716,1.077
-0.083,-0.66,0.849
-0.083,-0.724,1.073
-0.083,-0.766,1.357
-0.083,-0.682,1.033
-0.083,-0.644,1.033
-0.083,-0.717,1.097
-0.083,-0.682,1.259
-0.083,-0.791,0.861
-0.083,-0.669,0.798
-0.083,-0.662,1.028
