Helpfulness,Heuristic,Systematic
-0.286,-1.439,-0.72
-0.286,-0.467,0.39
-0.286,-0.387,0.355
-0.286,-0.865,-0.763
-0.286,-0.259,-0.523
-0.286,-0.323,0.684
-0.286,-1.533,-0.403
-0.286,-1.302,-0.739
-0.286,-0.402,-0.262
-0.286,0.028,0.308
-0.286,-0.171,1.397
-0.286,-0.004,-0.264
-0.286,-0.465,3.194
-0.286,-0.195,-0.656
-0.286,-0.465,0.139
2.365,-0.505,0.398
-0.286,-0.505,-0.471
-0.286,-1.532,0.947
-0.286,-0.505,-0.009
-0.286,-1.324,-0.797
-0.286,-0.504,-0.88
-0.286,-1.285,-0.366
-0.286,-0.624,-0.398
-0.286,-1.356,0.02
-0.286,-0.393,-0.471
-0.286,0.149,-0.703
-0.286,-1.499,0.96
-0.286,-0.504,0.418
-0.286,-1.531,-0.906
-0.286,-0.416,-0.472
-0.286,-0.026,0.347
-0.286,-0.304,1.18
-0.286,-1.466,-0.791
-0.286,-0.503,-0.565
-0.286,-1.219,1.456
-0.286,-1.53,-0.87
-0.286,-1.529,0.677
-0.286,-0.462,2.635
-0.286,-0.167,-0.181
-0.286,-1.497,0.084
-0.286,-0.175,-0.414
-0.286,-1.529,-0.945
-0.286,-0.82,0.219
-0.286,-0.247,-0.116
-0.286,-0.501,-0.322
-0.286,-1.377,-0.551
-0.286,0.064,0.246
-0.286,-1.329,-0.699
-0.286,-0.421,-0.835
-0.286,-0.413,-0.89
-0.286,-0.246,1.176
-0.286,0.113,-0.58
-0.286,-1.527,-0.89
-0.286,-0.317,-0.266
-0.286,-0.5,-0.297
-0.286,-1.527,-0.768
-0.286,0.121,-0.252
-0.286,-0.954,0.053
-0.286,-0.46,-0.196
-0.286,-0.046,-0.3
-0.286,-1.376,0.485
-0.286,-0.196,-0.723
-0.286,-1,-0.421
-0.286,-0.132,-0.216
-0.286,-0.459,0.038
-0.286,-1.111,-0.667
-0.286,-0.394,-0.263
-0.286,-0.028,0.182
-0.286,-0.442,-0.506
-0.286,-0.267,-0.064
-0.286,-1.492,-0.281
-0.286,-0.497,-0.209
-0.286,-1.373,-0.263
-0.286,-1.524,-0.206
-0.286,-0.457,-0.017
-0.286,-1.349,-0.93
-0.286,-0.393,-0.081
-0.286,-1.413,0.943
-0.286,-0.035,0.241
-0.286,-0.823,0.408
-0.286,-0.496,-0.223
-0.286,0.26,0.178
-0.286,-0.416,-0.62
-0.286,-1.332,-0.922
-0.286,0.165,1.586
-0.286,-1.379,1.884
-0.286,-0.455,-0.423
-0.286,-0.455,0.242
-0.286,-0.296,0.952
-0.286,-0.495,-0.517
-0.286,-0.494,-0.665
-0.286,-0.455,-0.856
-0.286,-1.434,-0.63
-0.286,0,-0.714
-0.286,-0.454,-0.788
-0.286,-1.036,-0.721
-0.286,-0.454,0.023
-0.286,-0.494,-0.68
-0.286,0.43,-0.553
-0.286,0.04,-0.505
-0.286,-0.494,-0.443
-0.286,-0.359,0.14
-0.286,-0.374,0.547
-0.286,-0.207,0.896
-0.286,-0.494,-0.369
-0.286,-0.446,1.057
-0.286,-0.931,2.008
-0.286,-0.358,-0.32
-0.286,-0.175,-0.502
2.365,-0.493,0.349
-0.286,-0.453,-0.57
-0.286,-1.52,-0.626
-0.286,-1.456,-0.377
-0.286,-1.28,0.567
-0.286,-0.3,-0.838
-0.286,-0.452,-0.376
-0.286,-0.492,-0.681
-0.286,-0.205,0.326
-0.286,-1.518,-0.785
-0.286,-1.12,-0.792
-0.286,-0.173,2.026
-0.286,-0.372,-0.711
-0.286,-0.204,-0.462
-0.286,-0.491,-0.387
-0.286,-1.263,0.95
-0.286,-0.005,1.002
-0.286,-0.061,2.021
-0.286,-0.443,-0.517
-0.286,-1.255,0.533
-0.286,-1.478,2.372
-0.286,-0.49,1.211
-0.286,-0.283,1.632
-0.286,-1.286,-0.572
-0.286,-0.45,-0.512
-0.286,-0.45,-0.093
-0.286,-0.49,-0.104
-0.286,-0.33,-0.097
-0.286,-0.147,-0.594
-0.286,-0.489,-0.37
-0.286,-1.381,-0.496
-0.286,-1.19,-0.78
-0.286,-1.405,-0.662
-0.286,-0.449,-0.823
-0.286,0.251,-0.619
2.365,-0.035,0.443
-0.286,-1.309,-0.007
-0.286,-1.516,1.94
-0.286,-0.082,6.713
-0.286,-1.516,-0.502
-0.286,-0.448,-0.324
-0.286,-0.448,-0.578
-0.286,-1.515,-0.154
2.365,-1.07,0.105
-0.286,-1.475,0.174
-0.286,0.244,1.161
-0.286,-0.488,-0.308
2.365,-1.196,7.508
