Helpfulness,Heuristic,Systematic
-0.07,-0.332,-0.071
-0.07,1.206,-0.484
0.247,0.925,0.203
-0.07,-1.107,-0.739
-0.07,-0.309,-0.128
-0.07,0.89,2.707
-0.07,-0.638,-0.667
-0.07,-0.452,-0.511
-0.07,-0.483,-0.025
-0.07,-0.819,4.736
-0.07,0.832,-0.896
-0.07,-0.797,-0.27
-0.07,-0.495,-0.407
-0.07,-0.187,-0.172
-0.07,-0.55,-0.64
-0.07,-0.872,-0.291
-0.07,-0.566,1.401
-0.07,-0.759,0.294
-0.07,1.743,0.666
-0.07,0.126,-0.347
-0.07,-0.847,-0.081
-0.07,0.175,-0.608
10.413,1.008,3.109
-0.07,-0.249,0.145
-0.07,-0.767,-0.331
-0.07,3.813,-0.367
0.565,0.464,-0.323
-0.07,-0.916,-0.677
-0.07,-0.062,-0.582
-0.07,-0.464,-0.385
-0.07,-0.245,-0.373
-0.07,0.143,-0.889
-0.07,-1.087,-0.581
-0.07,1.312,-0.85
-0.07,-0.083,2.013
-0.07,0.115,0.485
-0.07,0.556,0.414
0.247,0.242,-0.584
-0.07,0.444,-0.211
-0.07,-0.36,-0.087
-0.07,-0.607,0.28
-0.07,0.443,-0.45
0.247,0.425,-0.123
-0.07,-0.596,-0.012
0.247,-0.526,-0.259
-0.07,-0.25,-0.424
-0.07,1.435,1.164
-0.07,-0.37,0.173
-0.07,-0.252,0.192
-0.07,-1.033,-0.389
-0.07,1.135,0.517
-0.07,-0.907,0.121
0.247,-1.07,0.237
-0.07,-1.287,-0.51
-0.07,-0.424,-0.314
-0.07,0.55,-0.365
0.565,0.072,-0.607
-0.07,-1.196,-0.657
0.565,-0.148,-0.429
-0.07,-0.074,-0.395
-0.07,-0.548,-0.161
-0.07,-0.423,0.086
-0.07,-0.754,-0.14
-0.07,0.374,-0.071
-0.07,0.942,0.306
-0.07,-1.012,-0.627
-0.07,-0.064,-0.917
-0.07,-0.538,-0.519
-0.07,-0.473,0.336
-0.07,0.18,1.074
-0.07,-0.449,-0.479
0.247,-0.198,-0.525
-0.07,-0.857,-0.43
-0.07,-0.183,-0.537
-0.07,-0.322,1.752
0.247,-0.092,0.515
-0.07,0.647,-0.517
-0.07,-1.045,-0.651
-0.07,-0.535,2.413
0.247,-1.226,-0.599
-0.07,-0.484,-0.661
-0.07,-1.152,-0.579
-0.07,-0.279,1.802
0.247,-0.459,-0.295
-0.07,-0.934,0.338
-0.07,-0.811,-0.312
-0.07,-0.678,0.239
-0.07,-0.717,-0.446
-0.07,-0.022,-0.294
-0.07,-0.004,-0.63
-0.07,-0.809,-0.107
-0.07,-0.803,-0.535
-0.07,-0.41,1.32
-0.07,0.166,0.045
-0.07,0.623,-0.547
-0.07,-0.462,-0.125
-0.07,-1.034,0.618
-0.07,-1.062,-0.693
-0.07,-1.081,-0.546
-0.07,-0.549,-0.124
-0.07,-0.526,-0.039
0.247,-0.997,-0.501
-0.07,2.288,1.972
-0.07,0.704,0.643
-0.07,-0.622,-0.507
-0.07,-0.63,-0.589
-0.07,0.525,-0.468
-0.07,-0.625,-0.081
-0.07,-0.801,-0.531
-0.07,1.43,1.518
0.565,-0.26,0.131
2.789,-0.494,2.253
-0.07,-0.774,-0.461
-0.07,0.92,-0.243
-0.07,-0.213,1.493
-0.07,0.733,-0.18
-0.07,0.231,1.024
-0.07,2.477,-0.14
-0.07,-0.638,0.564
-0.07,-1.019,-0.682
-0.07,-0.492,-0.599
-0.07,-1.159,-0.683
-0.07,-0.949,-0.586
-0.07,0.418,0.538
-0.07,-0.691,-0.624
