Helpfulness,Heuristic,Systematic
87.396,-0.868,0.917
21.137,-0.402,0.126
20.87,-0.558,2.737
4.472,-0.653,1.116
2.606,0.126,0.653
1.939,-0.678,-0.028
0.873,0.201,1.547
0.739,0.356,2.077
0.339,0.551,1.297
0.206,-0.739,-0.027
0.073,-0.848,0.476
0.073,-0.792,-0.128
0.073,-0.378,-0.676
0.073,-0.712,0.468
0.073,-0.727,-0.09
0.073,-0.727,-0.386
0.073,-0.47,-0.011
0.073,-0.82,0.077
0.073,-0.756,0.608
0.073,-0.875,-0.458
0.073,-0.792,-0.015
0.073,-0.705,1.146
0.073,-0.848,-0.64
0.073,-0.895,-0.211
0.073,-0.916,3.155
0.073,-0.576,0.453
0.073,-0.668,-0.084
0.073,-0.769,0.636
0.073,-0.972,-0.211
0.073,-0.912,-0.244
0.073,-0.912,-0.417
0.073,-0.469,-0.461
0.073,-0.705,-0.617
0.073,-0.688,0.128
0.073,-0.718,-0.644
0.073,-0.878,-0.389
0.073,-0.771,-0.465
0.073,-0.754,0.319
0.073,-0.743,1.554
0.073,-0.739,-0.174
0.073,-0.64,-0.223
0.073,-0.447,-0.203
0.073,-0.809,-0.483
0.073,-0.863,-0.665
0.073,-0.913,-0.197
0.073,-0.404,0.323
0.073,-0.332,2.073
0.073,-0.674,1.402
0.073,-0.77,-0.459
0.073,-0.617,-0.239
0.073,-0.767,-0.422
0.073,-0.486,1.666
0.073,-0.785,-0.483
0.073,-0.817,-0.091
0.073,-0.73,1.696
0.073,-0.777,-0.104
0.073,-1.005,0.432
0.073,-0.772,0.637
0.073,-0.885,-0.404
0.073,-0.419,-0.098
0.073,-0.899,0.269
0.073,-0.874,-0.428
0.073,-0.859,-0.603
0.073,-1.041,-0.486
0.073,-0.576,0.472
0.073,-0.666,-0.657
0.073,-0.717,0.491
0.073,-0.325,-0.476
0.073,-0.662,0.866
0.073,-0.9,-0.098
0.073,-0.429,-0.126
0.073,-0.734,-0.316
0.073,-0.993,-0.535
0.073,-0.8,0.923
0.073,-1.046,-0.379
0.073,-1.047,-0.493
0.073,-0.731,0.351
0.073,-0.807,-0.468
0.073,-0.671,-0.114
0.073,-0.781,-0.303
0.073,-0.872,0.095
0.073,-0.651,0.087
0.073,-0.914,-0.67
0.073,-0.94,0.092
0.073,-1.018,-0.619
0.073,-0.624,-0.164
0.073,-0.508,0.588
0.073,-0.853,2.14
0.073,-0.77,-0.166
0.073,-0.836,-0.176
0.073,-0.525,-0.045
0.073,-0.836,-0.184
0.073,-0.619,0.019
0.073,-0.991,-0.738
0.073,-0.924,0.553
0.073,-0.952,-0.344
0.073,-0.911,-0.079
0.073,-0.701,0.19
0.073,-0.887,-0.132
0.073,-0.613,1.03
0.073,-0.989,-0.084
0.073,-0.798,-0.562
0.073,-0.804,0.112
0.073,-0.587,0.968
0.073,-0.621,-0.031
0.073,-1.648,-0.536
-0.061,-0.49,2.881
-0.061,-0.26,1.667
-0.061,0.01,-0.629
-0.061,-0.662,-0.279
-0.061,-0.742,0.803
-0.061,-0.771,0.926
-0.061,-0.862,-0.426
-0.061,-0.869,-0.566
