Helpfulness,Heuristic,Systematic
25.554,-0.668,0.322
20.806,-0.648,0.472
19.382,-0.646,0.278
15.109,-0.716,0.277
11.311,-0.647,-0.006
9.887,-0.695,0.565
8.463,6.407,-0.448
4.19,-0.653,21.655
4.19,2.492,0.156
3.715,-0.655,0.115
3.715,-0.644,0.305
3.241,6.406,-0.125
2.766,6.415,0.668
2.291,-0.609,2.42
2.291,0.534,-0.123
1.816,-0.63,1.863
1.342,-0.651,16.917
1.342,-0.611,0.475
1.342,-0.645,0.198
1.342,-0.643,-0.249
1.342,-0.644,-0.341
1.342,0.532,-0.357
1.342,4.396,9.614
0.867,-0.649,16.401
0.867,-0.645,12.938
0.867,-0.654,4.727
0.867,-0.649,2.612
0.867,-0.661,0.207
0.867,0.409,-0.566
0.867,2.473,-0.297
0.867,6.337,-0.155
0.392,-0.653,8.896
0.392,-0.716,2.107
0.392,-0.677,0.269
0.392,-0.715,0.545
0.392,-0.664,0.338
0.392,0.505,4.694
0.392,2.472,0.817
0.392,2.401,-0.101
0.392,2.404,-0.127
0.392,6.397,0.292
0.392,6.347,0.433
0.392,6.265,-0.392
-0.083,-0.73,22.426
-0.083,-0.79,21.147
-0.083,-0.791,16.597
-0.083,-0.803,20.284
-0.083,-0.693,11.995
-0.083,-0.707,11.303
-0.083,-0.788,10.389
-0.083,-0.672,9.539
-0.083,-0.701,8.707
-0.083,-0.645,7.311
-0.083,-0.768,7.06
-0.083,-0.613,7.076
-0.083,-0.683,6.718
-0.083,-0.649,6.801
-0.083,-0.725,6.385
-0.083,-0.663,5.524
-0.083,-0.713,5.059
-0.083,-0.651,5.294
-0.083,-0.674,5.042
-0.083,-0.725,4.728
-0.083,-0.709,4.839
-0.083,-0.754,4.926
-0.083,-0.766,5.027
-0.083,-0.658,4.457
-0.083,-0.731,4.156
-0.083,-0.733,3.653
-0.083,-0.676,3.323
-0.083,-0.678,3.761
-0.083,-0.667,3.898
-0.083,-0.782,4.059
-0.083,-0.727,3.668
-0.083,-0.708,3.355
-0.083,-0.674,3.947
-0.083,-0.762,3.733
-0.083,-0.667,3.049
-0.083,-0.664,2.645
-0.083,-0.675,2.811
-0.083,-0.66,3.232
-0.083,-0.672,6.307
-0.083,-0.761,3.301
-0.083,-0.688,3.043
-0.083,-0.697,2.939
-0.083,-0.659,2.707
-0.083,-0.662,2.882
-0.083,-0.797,2.917
-0.083,-0.668,2.602
-0.083,-0.755,2.665
-0.083,-0.682,2.804
-0.083,-0.668,2.544
-0.083,-0.795,3.2
-0.083,-0.669,2.125
-0.083,-0.662,2.683
-0.083,-0.703,2.463
-0.083,-0.683,2.561
-0.083,-0.748,2.137
-0.083,-0.662,2.519
-0.083,-0.792,2.312
-0.083,-0.698,2.478
-0.083,-0.722,2.367
-0.083,-0.709,2.44
-0.083,-0.712,2.271
-0.083,-0.776,2.356
-0.083,-0.752,2.225
-0.083,-0.792,2.535
-0.083,-0.687,2.091
-0.083,-0.794,1.921
-0.083,-0.679,1.852
-0.083,-0.771,1.736
-0.083,-0.647,2.152
-0.083,-0.796,3.67
-0.083,-0.674,1.75
-0.083,-0.684,1.917
-0.083,-0.683,2.055
-0.083,-0.812,1.937
-0.083,-0.731,1.873
-0.083,-0.79,2.031
-0.083,-0.662,1.864
-0.083,-0.675,1.439
-0.083,-0.702,2.079
-0.083,-0.666,1.42
-0.083,-0.694,1.595
-0.083,-0.676,1.586
-0.083,-0.677,1.67
-0.083,-0.671,1.357
-0.083,-0.81,1.939
-0.083,-0.654,1.81
-0.083,-0.653,1.835
-0.083,-0.716,1.68
-0.083,-0.677,1.819
-0.083,-0.784,1.42
-0.083,-0.663,1.377
-0.083,-0.654,1.508
-0.083,-0.773,1.344
-0.083,-0.672,1.342
-0.083,-0.721,1.359
-0.083,-0.722,1.429
-0.083,-0.658,1.244
-0.083,-0.688,1.489
-0.083,-0.66,1.332
-0.083,-0.738,1.17
-0.083,-0.7,1.269
-0.083,-0.648,1.572
-0.083,-0.654,1.434
-0.083,-0.717,1.504
-0.083,-0.706,1.39
-0.083,-0.643,1.308
-0.083,-0.674,1.387
-0.083,-0.662,1.21
-0.083,-0.707,1.506
-0.083,-0.662,1.215
-0.083,-0.731,1.282
-0.083,-0.653,1.074
-0.083,-0.738,1.157
-0.083,-0.669,1.207
-0.083,-0.79,1.573
-0.083,-0.611,1.328
-0.083,-0.727,1.184
-0.083,-0.664,1.177
-0.083,-0.664,1.173
-0.083,-0.727,1.552
-0.083,-0.671,1.644
-0.083,-0.648,1.374
