Helpfulness,Heuristic,Systematic
-0.286,-1.439,-0.684
-0.286,-0.467,0.386
-0.286,-0.387,0.355
-0.286,-0.865,-0.712
-0.286,-0.259,-0.58
-0.286,-0.323,0.675
-0.286,-1.533,-0.387
-0.286,-1.302,-0.761
-0.286,-0.402,-0.246
-0.286,0.028,0.244
-0.286,-0.171,1.339
-0.286,-0.004,-0.301
-0.286,-0.465,3.153
-0.286,-0.195,-0.607
-0.286,-0.465,0.12
2.365,-0.505,0.352
-0.286,-0.505,-0.505
-0.286,-1.532,0.942
-0.286,-0.505,-0.087
-0.286,-1.324,-0.814
-0.286,-0.504,-1.004
-0.286,-1.285,-0.374
-0.286,-0.624,-0.42
-0.286,-1.356,0.033
-0.286,-0.393,-0.497
-0.286,0.149,-0.671
-0.286,-1.499,0.873
-0.286,-0.504,0.363
-0.286,-1.531,-0.78
-0.286,-0.416,-0.46
-0.286,-0.026,0.327
-0.286,-0.304,1.156
-0.286,-1.466,-0.834
-0.286,-0.503,-0.538
-0.286,-1.219,1.463
-0.286,-1.53,-0.838
-0.286,-1.529,0.65
-0.286,-0.462,2.616
-0.286,-0.167,-0.197
-0.286,-1.497,0.052
-0.286,-0.175,-0.402
-0.286,-1.529,-1.001
-0.286,-0.82,0.279
-0.286,-0.247,-0.143
-0.286,-0.501,-0.264
-0.286,-1.377,-0.534
-0.286,0.064,0.202
-0.286,-1.329,-0.654
-0.286,-0.421,-0.805
-0.286,-0.413,-0.754
-0.286,-0.246,1.185
-0.286,0.113,-0.563
-0.286,-1.527,-0.81
-0.286,-0.317,-0.241
-0.286,-0.5,-0.268
-0.286,-1.527,-0.745
-0.286,0.121,-0.249
-0.286,-0.954,-0.01
-0.286,-0.46,-0.223
-0.286,-0.046,-0.276
-0.286,-1.376,0.453
-0.286,-0.196,-0.754
-0.286,-1,-0.482
-0.286,-0.132,-0.248
-0.286,-0.459,0.09
-0.286,-1.111,-0.619
-0.286,-0.394,-0.319
-0.286,-0.028,0.234
-0.286,-0.442,-0.544
-0.286,-0.267,-0.136
-0.286,-1.492,-0.353
-0.286,-0.497,-0.177
-0.286,-1.373,-0.317
-0.286,-1.524,-0.248
-0.286,-0.457,-0.062
-0.286,-1.349,-0.84
-0.286,-0.393,-0.08
-0.286,-1.413,0.881
-0.286,-0.035,0.218
-0.286,-0.823,0.489
-0.286,-0.496,-0.227
-0.286,0.26,0.23
-0.286,-0.416,-0.543
-0.286,-1.332,-1.058
-0.286,0.165,1.522
-0.286,-1.379,1.861
-0.286,-0.455,-0.5
-0.286,-0.455,0.211
-0.286,-0.296,0.892
-0.286,-0.495,-0.527
-0.286,-0.494,-0.647
-0.286,-0.455,-0.846
-0.286,-1.434,-0.722
-0.286,0,-0.756
-0.286,-0.454,-0.805
-0.286,-1.036,-0.702
-0.286,-0.454,0.155
-0.286,-0.494,-0.63
-0.286,0.43,-0.615
-0.286,0.04,-0.52
-0.286,-0.494,-0.475
-0.286,-0.359,0.242
-0.286,-0.374,0.499
-0.286,-0.207,0.917
-0.286,-0.494,-0.324
