Helpfulness,Heuristic,Systematic
-0.07,-0.47,-0.093
-0.07,1.05,-0.585
0.247,0.901,0.236
-0.07,-1,-0.914
-0.07,-0.207,-0.07
-0.07,0.905,2.792
-0.07,-0.735,-0.828
-0.07,-0.47,-0.507
-0.07,-0.417,-0.043
-0.07,-0.735,4.696
-0.07,0.684,-0.881
-0.07,-1.053,-0.264
-0.07,-0.682,-0.459
-0.07,-0.364,-0.163
-0.07,-0.788,-0.615
-0.07,-1.053,-0.347
-0.07,-0.735,1.367
-0.07,-0.629,0.26
-0.07,1.526,0.666
-0.07,-0.047,-0.311
-0.07,-1,-0.035
-0.07,0.112,-0.545
10.413,1.171,3.153
-0.07,-0.364,0.212
-0.07,-0.841,-0.297
-0.07,3.755,-0.311
0.565,0.43,-0.426
-0.07,-0.841,-0.661
-0.07,-0.259,-0.503
-0.07,-0.683,-0.262
-0.07,-0.364,-0.371
-0.07,-0.1,-0.904
-0.07,-1.106,-0.548
-0.07,1.271,-0.882
-0.07,-0.312,2.038
-0.07,0.112,0.475
-0.07,0.694,0.451
0.247,0.165,-0.546
-0.07,0.324,-0.197
-0.07,-0.259,-0.116
-0.07,-0.735,0.16
-0.07,0.218,-0.608
0.247,0.377,-0.162
-0.07,-0.735,-0.131
0.247,-0.682,-0.289
-0.07,-0.364,-0.605
-0.07,1.584,1.115
-0.07,-0.417,0.213
-0.07,-0.163,0.086
-0.07,-1.106,-0.326
-0.07,1.165,0.468
-0.07,-0.788,0.123
0.247,-0.947,0.204
-0.07,-1.317,-0.488
-0.07,-0.417,-0.333
-0.07,0.377,-0.498
0.565,-0.1,-0.574
-0.07,-1.212,-0.585
0.565,-0.312,-0.399
-0.07,0.006,-0.354
-0.07,-0.47,-0.193
-0.07,-0.418,0.103
-0.07,-0.894,-0.152
-0.07,0.271,-0.128
-0.07,0.906,0.354
-0.07,-0.947,-0.545
-0.07,0.059,-0.983
-0.07,-0.523,-0.413
-0.07,-0.629,0.169
-0.07,-0.047,1.125
-0.07,-0.365,-0.442
0.247,-0.259,-0.446
-0.07,-1.001,-0.487
-0.07,-0.312,-0.495
-0.07,-0.417,1.775
0.247,0.006,0.545
-0.07,0.689,-0.46
-0.07,-1,-0.6
-0.07,-0.629,2.427
0.247,-1.264,-0.491
-0.07,-0.735,-0.736
-0.07,-1.053,-0.475
-0.07,-0.312,1.825
0.247,-0.523,-0.338
-0.07,-0.841,0.322
-0.07,-0.841,-0.3
-0.07,-0.682,0.219
-0.07,-0.894,-0.351
-0.07,0.112,-0.309
-0.07,0.059,-0.559
-0.07,-0.947,-0.101
-0.07,-0.682,-0.496
-0.07,-0.47,1.318
-0.07,0.005,0.1
-0.07,0.424,-0.524
-0.07,-0.523,-0.134
-0.07,-0.894,0.671
-0.07,-1.106,-0.603
-0.07,-1.106,-0.528
-0.07,-0.582,-0.108
-0.07,-0.635,0.014
0.247,-0.947,-0.476
-0.07,2.441,1.983
-0.07,0.589,0.663
-0.07,-0.841,-0.661
-0.07,-0.524,-0.684
-0.07,0.483,-0.313
-0.07,-0.735,-0.045
-0.07,-0.841,-0.492
-0.07,1.209,1.553
0.565,-0.317,0.148
2.789,-0.682,2.291
-0.07,-0.789,-0.54
-0.07,0.746,-0.329
-0.07,-0.206,1.476
-0.07,0.852,-0.142
-0.07,0.377,1.052
-0.07,2.426,-0.201
-0.07,-0.841,0.604
-0.07,-0.947,-0.695
-0.07,-0.682,-0.59
-0.07,-1.106,-0.814
-0.07,-0.842,-0.49
-0.07,0.324,0.466
-0.07,-0.841,-0.586
-0.07,-1,-0.928
-0.07,-0.947,-0.396
-0.07,-0.894,-0.524
-0.07,0.323,-0.941
-0.07,1.594,0.924
-0.07,-0.682,-0.498
-0.07,1.276,-0.647
0.565,1.383,-0.187
-0.07,0.377,-0.057
-0.07,-0.842,-0.306
-0.07,-0.523,-0.09
1.2,-0.576,2.264
-0.07,-0.207,-1.024
-0.07,-0.047,-0.572
0.247,-0.523,0.815
-0.07,1.065,-0.594
-0.07,-0.576,-0.291
0.247,-0.629,1.307
-0.07,-1.212,0.324
-0.07,-0.842,-0.586
-0.07,-0.894,-0.172
-0.07,-0.788,-0.64
-0.07,0.059,0.482
-0.07,-0.418,0.067
-0.07,-1.106,-1.002
-0.07,0.112,-0.637
-0.07,-1.212,-0.711
0.247,0.8,0.96
-0.07,-0.576,-0.579
-0.07,-0.312,-0.571
0.247,-0.417,0.36
-0.07,0.165,1.203
-0.07,-0.895,-0.314
0.565,-0.947,0.781
-0.07,0.27,-0.222
-0.07,-1.106,-0.841
0.247,-0.894,-0.426
-0.07,-0.364,-0.505
-0.07,0.058,0.479
-0.07,-0.47,0.671
-0.07,-0.841,-0.427
-0.07,0.536,-0.221
0.247,-0.423,0.272
-0.07,0.641,1.556
-0.07,0.112,-0.315
0.247,-0.523,-0.353
-0.07,-0.47,-0.373
-0.07,0.371,-0.333
-0.07,0.377,0.922
-0.07,-0.735,-0.315
-0.07,1.065,-0.107
-0.07,0,0.088
-0.07,-0.629,-0.158
-0.07,-0.047,-0.645
-0.07,0.112,-0.017
-0.07,-0.47,-0.34
-0.07,-0.841,-0.18
-0.07,-0.048,-0.371
-0.07,-1.053,-0.634
-0.07,1.791,-0.311
-0.07,-0.26,0.104
-0.07,-0.047,0.444
-0.07,-0.523,-0.604
-0.07,-0.312,-0.913
-0.07,0.8,2.607
-0.07,-0.788,-0.422
-0.07,-0.417,-0.561
-0.07,0.006,-0.482
-0.07,0.218,-0.639
-0.07,0.271,0.835
-0.07,-0.682,-0.581
-0.07,-0.47,-0.47
-0.07,-0.364,-0.175
0.247,-0.423,-0.094
-0.07,-0.206,1.507
0.247,-0.417,-0.365
-0.07,-1.106,-0.488
-0.07,0.853,-0.248
-0.07,0.589,-0.679
-0.07,-0.364,-0.696
-0.07,-0.576,-0.654
-0.07,-0.153,-0.489
-0.07,-0.894,-0.444
-0.07,0.111,-0.348
-0.07,0.944,0.199
2.789,0.838,1.435
-0.07,-0.47,-0.56
-0.07,-0.312,-0.262
-0.07,1.156,-0.632
-0.07,-0.418,-0.448
-0.07,0.424,-0.311
-0.07,1.637,2.185
-0.07,1.959,8.257
-0.07,-0.576,-0.535
-0.07,-0.047,1.454
0.247,-0.47,-0.155
-0.07,-1.212,-0.736
-0.07,0.318,-0.408
-0.07,-0.047,-0.088
-0.07,-0.842,-0.679
-0.07,-0.206,-0.145
0.565,-0.259,0.747
-0.07,-0.264,-0.534
-0.07,-0.312,3.46
-0.07,0.8,-0.381
-0.07,-0.841,-0.003
-0.07,-0.101,-0.475
-0.07,-0.842,-0.836
-0.07,-0.417,-0.518
-0.07,-0.364,-0.306
-0.07,-0.576,1.307
-0.07,-0.523,0.954
-0.07,-0.417,-0.423
-0.07,-0.47,-0.819
-0.07,0.218,-0.678
-0.07,-1.053,-0.523
-0.07,0.059,-0.568
-0.07,-0.153,-0.634
0.247,-1,-0.212
0.565,-0.259,0.444
-0.07,0.271,-0.729
-0.07,-0.418,-0.704
-0.07,0.217,-0.077
-0.07,2.113,2.053
-0.07,0.006,0.016
-0.07,-1.053,-0.455
-0.07,-0.947,-0.429
-0.07,1.372,0.024
-0.07,-0.735,-0.279
-0.07,2.759,0.938
-0.07,-1.053,-0.876
-0.07,-0.947,-0.523
-0.07,-0.364,1.086
-0.07,-1.106,-0.488
-0.07,-0.788,-0.405
-0.07,-0.629,-0.424
0.565,0.217,-0.617
-0.07,-0.894,-0.556
-0.07,-0.947,-0.93
-0.07,0.853,-0.489
-0.07,2.071,1.17
-0.07,-0.365,0.029
0.247,1.436,-0.278
-0.07,-0.1,-0.946
-0.07,-0.947,-0.341
-0.07,0.271,-0.026
-0.07,-0.894,-0.786
-0.07,0.006,1.837
-0.07,-0.47,-0.337
-0.07,0.165,-0.114
0.883,-0.364,0.724
0.565,-0.259,4.732
-0.07,-1,0.898
-0.07,-1.053,-0.684
-0.07,0.313,-0.432
-0.07,-0.894,-0.555
-0.07,-0.47,-0.321
-0.07,-0.206,-0.147
-0.07,-0.153,-0.696
-0.07,-0.312,-0.431
-0.07,-0.788,-0.466
-0.07,1.065,0.659
0.883,-0.364,0.75
-0.07,0.165,-0.195
-0.07,-0.894,-0.493
-0.07,-0.682,-0.242
-0.07,-0.417,-0.458
-0.07,-0.841,-0.661
0.247,-0.1,0.638
-0.07,-0.312,-0.57
0.247,-0.842,0.114
-0.07,-0.471,-0.687
-0.07,-0.418,-0.19
-0.07,0.8,1.164
-0.07,1.05,-0.643
0.247,-0.417,0.109
-0.07,-0.683,-0.803
-0.07,-1.053,-0.534
0.565,0.218,0.265
-0.07,-0.842,0.281
-0.07,0.324,0.08
-0.07,0.536,-0.094
-0.07,-0.264,0.05
-0.07,-0.048,-0.398
