Helpfulness,Heuristic,Systematic
87.396,-0.976,0.919
21.137,-0.205,0.122
20.87,-0.462,2.777
4.472,-0.612,1.11
2.606,0.663,0.652
1.939,-0.591,0.024
0.873,0.792,1.552
0.739,1.049,2.068
0.339,1.37,1.374
0.206,-0.698,-0.039
0.073,-0.933,0.5
0.073,-0.569,-0.157
0.073,-0.162,-0.623
0.073,-0.698,0.506
0.073,-0.719,-0.046
0.073,-0.719,-0.336
0.073,-0.312,0.023
0.073,-0.89,0.077
0.073,-0.783,0.558
0.073,-0.955,-0.39
0.073,-0.848,0.005
0.073,-0.698,1.127
0.073,-0.933,-0.606
0.073,-0.848,-0.176
0.073,-0.912,3.154
0.073,-0.355,0.432
0.073,-0.355,-0.057
0.073,-0.698,0.626
0.073,-0.869,-0.192
0.073,-0.762,-0.263
0.073,-0.762,-0.394
0.073,-0.312,-0.394
0.073,-0.698,-0.648
0.073,-0.655,0.106
0.073,-0.698,-0.689
0.073,-0.976,-0.428
0.073,-0.783,-0.427
0.073,-0.783,0.365
0.073,-0.633,1.615
0.073,-0.569,-0.229
0.073,-0.376,-0.232
0.073,-0.055,-0.222
0.073,-0.655,-0.469
0.073,-0.912,-0.629
0.073,-0.826,-0.219
0.073,-0.205,0.36
0.073,-0.055,2.039
0.073,-0.633,1.398
0.073,-0.762,-0.515
0.073,-0.505,-0.24
0.073,-0.805,-0.397
0.073,-0.334,1.633
0.073,-0.762,-0.451
0.073,-0.869,-0.063
0.073,-0.526,1.687
0.073,-0.805,-0.067
0.073,-0.976,0.428
0.073,-0.698,0.645
0.073,-0.783,-0.411
0.073,-0.012,-0.097
0.073,-0.805,0.272
0.073,-0.762,-0.406
0.073,-0.74,-0.642
0.073,-1.04,-0.477
0.073,-0.269,0.431
0.073,-0.419,-0.572
0.073,-0.719,0.498
0.073,-0.077,-0.423
0.073,-0.612,0.85
0.073,-0.74,-0.062
0.073,-0.226,-0.055
0.073,-0.526,-0.334
0.073,-0.955,-0.54
0.073,-0.483,0.93
0.073,-0.912,-0.421
0.073,-0.912,-0.465
0.073,-0.526,0.348
0.073,-0.655,-0.384
0.073,-0.633,-0.16
0.073,-0.826,-0.346
0.073,-0.698,0.136
0.073,-0.334,0.129
0.073,-0.826,-0.668
0.073,-0.869,0.06
0.073,-0.933,-0.581
0.073,-0.398,-0.181
0.073,-0.376,0.596
0.073,-0.933,2.133
0.073,-0.805,-0.115
0.073,-0.912,-0.177
0.073,-0.398,-0.05
0.073,-0.912,-0.237
0.073,-0.205,-0.028
0.073,-0.805,-0.682
0.073,-0.933,0.506
0.073,-0.89,-0.331
0.073,-0.869,-0.128
0.073,-0.419,0.219
0.073,-0.719,-0.131
0.073,-0.269,1.023
0.073,-0.89,-0.086
0.073,-0.805,-0.491
0.073,-0.441,0.157
0.073,-0.462,0.97
0.073,-0.548,0.03
0.073,-0.805,-0.584
-0.061,-0.312,2.886
-0.061,0.073,1.667
-0.061,0.578,-0.608
-0.061,-0.526,-0.291
-0.061,-0.762,0.808
-0.061,-0.805,0.925
-0.061,-0.955,-0.407
-0.061,-0.933,-0.614
-0.061,-0.633,0.101
-0.061,-0.291,-0.507
-0.061,-0.912,0.214
-0.061,-0.762,1.059
-0.061,-0.698,-0.316
-0.061,-0.826,-0.143
-0.061,-0.74,0.143
-0.061,0.749,0.088
-0.061,-0.269,0.715
-0.061,-1.04,-0.053
-0.061,-0.483,-0.238
-0.061,-0.955,0.082
-0.061,-0.526,0.325
-0.061,-0.505,0.799
-0.061,-0.74,0.836
-0.061,-0.055,1.658
-0.061,-0.74,0.325
-0.061,-0.376,0.24
-0.061,-0.719,-0.551
-0.061,-0.848,-0.402
-0.061,-0.933,0.077
-0.061,-0.698,-0.356
-0.061,-0.548,-0.155
-0.061,-0.205,0.41
-0.061,-0.719,0.085
-0.061,-0.355,-0.173
-0.061,-0.419,-0.26
-0.061,-0.955,-0.49
-0.061,0.492,-0.369
-0.061,-0.783,-0.17
-0.061,-0.462,0.045
-0.061,-0.269,-0.468
-0.061,-0.698,1.554
-0.061,-0.633,2.568
-0.061,-0.912,1.746
-0.061,-0.612,-0.58
-0.061,0.92,0.021
-0.061,-0.805,0.246
-0.061,-0.933,0.248
-0.061,-0.119,-0.554
-0.061,-0.441,-0.345
-0.061,-0.826,-0.33
-0.061,-0.89,-0.441
-0.061,-0.184,0.742
-0.061,-1.062,-0.669
-0.061,-0.912,-0.493
-0.061,-0.912,0.082
-0.061,-0.719,-0.212
-0.061,-0.933,-0.827
-0.061,-0.912,-0.178
-0.061,-0.89,-0.544
-0.061,-0.141,0.002
-0.061,-0.783,0.021
-0.061,-0.89,-0.386
-0.061,-0.698,-0.302
-0.061,-0.912,0.652
-0.061,-0.783,-0.431
-0.061,-0.762,2.562
-0.061,-0.762,-0.461
-0.061,-0.976,0.073
-0.061,-0.698,-0.413
-0.061,1.199,-0.512
-0.061,-0.676,-0.276
-0.061,-0.89,-0.66
-0.061,-0.398,-0.447
-0.061,-0.633,-0.168
-0.061,-0.719,0.033
-0.061,1.135,-0.346
-0.061,-0.976,-0.323
-0.061,1.113,0.854
-0.061,-0.334,1.149
-0.061,-0.997,-0.297
-0.061,-0.419,0.112
-0.061,-0.119,-0.144
-0.061,-0.312,-0.093
-0.061,-0.591,-0.258
-0.061,-0.783,-0.469
-0.061,-0.805,-0.423
-0.061,-0.483,0.122
-0.061,-0.698,-0.458
-0.061,-0.955,1.037
-0.061,-0.012,-0.308
-0.061,1.199,0.28
-0.061,-0.505,-0.287
