Helpfulness,Heuristic,Systematic
25.554,-0.408,0.327
20.806,-0.408,0.447
19.382,-0.408,0.254
15.109,-0.408,0.266
11.311,-0.408,-0.012
9.887,-0.408,0.592
8.463,6.753,-0.406
4.19,-0.408,21.436
4.19,2.775,0.191
3.715,-0.408,0.112
3.715,-0.408,0.275
3.241,6.753,-0.07
2.766,6.753,0.697
2.291,-0.408,2.421
2.291,0.785,-0.047
1.816,-0.408,1.873
1.342,-0.408,16.769
1.342,-0.408,0.475
1.342,-0.408,0.213
1.342,-0.408,-0.248
1.342,-0.408,-0.348
1.342,0.785,-0.373
1.342,4.764,9.511
0.867,-0.408,16.258
0.867,-0.408,12.82
0.867,-0.408,4.726
0.867,-0.408,2.603
0.867,-0.408,0.253
0.867,0.785,-0.565
0.867,2.775,-0.234
0.867,6.753,-0.112
0.392,-0.408,8.845
0.392,-0.408,2.082
0.392,-0.408,0.297
0.392,-0.408,0.58
0.392,-0.408,0.331
0.392,0.785,4.671
0.392,2.775,0.786
0.392,2.775,-0.06
0.392,2.775,-0.19
0.392,6.753,0.337
0.392,6.753,0.462
0.392,6.753,-0.453
-0.083,-0.408,22.219
-0.083,-0.408,20.92
-0.083,-0.408,16.449
-0.083,-0.408,20.07
-0.083,-0.408,11.909
-0.083,-0.408,11.22
-0.083,-0.408,10.314
-0.083,-0.408,9.463
-0.083,-0.408,8.655
-0.083,-0.408,7.277
-0.083,-0.408,6.998
-0.083,-0.408,7.027
-0.083,-0.408,6.66
-0.083,-0.408,6.775
-0.083,-0.408,6.34
-0.083,-0.408,5.523
-0.083,-0.408,5.055
-0.083,-0.408,5.282
-0.083,-0.408,5.048
-0.083,-0.408,4.708
-0.083,-0.408,4.836
-0.083,-0.408,4.936
-0.083,-0.408,5.011
-0.083,-0.408,4.426
-0.083,-0.408,4.149
-0.083,-0.408,3.657
-0.083,-0.408,3.323
-0.083,-0.408,3.774
-0.083,-0.408,3.893
-0.083,-0.408,4.049
-0.083,-0.408,3.674
-0.083,-0.408,3.342
-0.083,-0.408,3.934
-0.083,-0.408,3.718
-0.083,-0.408,3.056
-0.083,-0.408,2.654
-0.083,-0.408,2.795
-0.083,-0.408,3.241
-0.083,-0.408,6.271
-0.083,-0.408,3.292
-0.083,-0.408,3.031
-0.083,-0.408,2.941
-0.083,-0.408,2.731
-0.083,-0.408,2.882
-0.083,-0.408,2.909
-0.083,-0.408,2.625
-0.083,-0.408,2.668
-0.083,-0.408,2.808
-0.083,-0.408,2.518
-0.083,-0.408,3.154
-0.083,-0.408,2.147
-0.083,-0.408,2.664
-0.083,-0.408,2.476
-0.083,-0.408,2.549
-0.083,-0.408,2.131
-0.083,-0.408,2.52
-0.083,-0.408,2.295
-0.083,-0.408,2.51
-0.083,-0.408,2.354
-0.083,-0.408,2.459
-0.083,-0.408,2.298
-0.083,-0.408,2.309
-0.083,-0.408,2.206
-0.083,-0.408,2.517
-0.083,-0.408,2.086
-0.083,-0.408,1.906
-0.083,-0.408,1.884
-0.083,-0.408,1.744
-0.083,-0.408,2.164
-0.083,-0.408,3.638
-0.083,-0.408,1.752
-0.083,-0.408,1.915
-0.083,-0.408,2.042
-0.083,-0.408,1.924
-0.083,-0.408,1.866
-0.083,-0.408,2.046
-0.083,-0.408,1.866
-0.083,-0.408,1.45
-0.083,-0.408,2.082
-0.083,-0.408,1.442
-0.083,-0.408,1.645
-0.083,-0.408,1.602
-0.083,-0.408,1.649
-0.083,-0.408,1.391
-0.083,-0.408,1.902
-0.083,-0.408,1.83
-0.083,-0.408,1.828
-0.083,-0.408,1.697
-0.083,-0.408,1.808
-0.083,-0.408,1.394
-0.083,-0.408,1.389
-0.083,-0.408,1.527
-0.083,-0.408,1.329
-0.083,-0.408,1.321
-0.083,-0.408,1.388
-0.083,-0.408,1.446
-0.083,-0.408,1.258
-0.083,-0.408,1.52
-0.083,-0.408,1.332
-0.083,-0.408,1.213
-0.083,-0.408,1.264
-0.083,-0.408,1.576
-0.083,-0.408,1.434
-0.083,-0.408,1.545
-0.083,-0.408,1.411
-0.083,-0.408,1.337
-0.083,-0.408,1.383
-0.083,-0.408,1.245
-0.083,-0.408,1.495
-0.083,-0.408,1.239
-0.083,-0.408,1.291
-0.083,-0.408,1.124
-0.083,-0.408,1.168
-0.083,-0.408,1.201
-0.083,-0.408,1.604
-0.083,-0.408,1.344
-0.083,-0.408,1.177
-0.083,-0.408,1.195
-0.083,-0.408,1.204
-0.083,-0.408,1.572
-0.083,-0.408,1.662
-0.083,-0.408,1.381
-0.083,-0.408,1.276
-0.083,-0.408,1.174
-0.083,-0.408,1.239
-0.083,-0.408,1.566
-0.083,-0.408,1.399
-0.083,-0.408,1.459
-0.083,-0.408,1.23
-0.083,-0.408,1.089
-0.083,-0.408,0.864
-0.083,-0.408,0.903
-0.083,-0.408,1.284
-0.083,-0.408,0.848
-0.083,-0.408,1.172
-0.083,-0.408,1.121
-0.083,-0.408,1.128
-0.083,-0.408,1.336
-0.083,-0.408,1.319
-0.083,-0.408,1.431
-0.083,-0.408,1.178
-0.083,-0.408,0.978
-0.083,-0.408,0.969
-0.083,-0.408,0.975
-0.083,-0.408,1.123
-0.083,-0.408,1.373
-0.083,-0.408,1.335
-0.083,-0.408,1.232
-0.083,-0.408,1.068
-0.083,-0.408,1.058
-0.083,-0.408,0.812
-0.083,-0.408,1.047
-0.083,-0.408,1.356
-0.083,-0.408,0.998
-0.083,-0.408,1.047
-0.083,-0.408,1.067
-0.083,-0.408,1.251
-0.083,-0.408,0.826
-0.083,-0.408,0.775
-0.083,-0.408,1.004
-0.083,-0.408,1.165
-0.083,-0.408,1.335
-0.083,-0.408,1.075
-0.083,-0.408,0.928
-0.083,-0.408,0.954
-0.083,-0.408,1.142
-0.083,-0.408,0.588
-0.083,-0.408,0.714
-0.083,-0.408,0.855
-0.083,-0.408,1.122
-0.083,-0.408,1.036
-0.083,-0.408,0.833
-0.083,-0.408,0.893
-0.083,-0.408,1.204
-0.083,-0.408,1.009
-0.083,-0.408,0.591
-0.083,-0.408,0.855
-0.083,-0.408,1.064
-0.083,-0.408,1.122
-0.083,-0.408,1.277
-0.083,-0.408,0.553
-0.083,-0.408,1.099
-0.083,-0.408,1.022
-0.083,-0.408,0.805
-0.083,-0.408,0.937
-0.083,-0.408,0.826
-0.083,-0.408,0.701
-0.083,-0.408,0.841
-0.083,-0.408,1.138
-0.083,-0.408,0.922
-0.083,-0.408,0.662
-0.083,-0.408,0.707
-0.083,-0.408,1.121
-0.083,-0.408,0.952
-0.083,-0.408,0.655
