Helpfulness,Heuristic,Systematic
-0.286,-1.362,-0.723
-0.286,-0.332,0.393
-0.286,-0.252,0.355
-0.286,-0.729,-0.768
-0.286,-0.124,-0.516
-0.286,-0.188,0.685
-0.286,-1.402,-0.402
-0.286,-1.169,-0.733
-0.286,-0.268,-0.263
-0.286,0.164,0.313
-0.286,-0.036,1.401
-0.286,0.132,-0.26
-0.286,-0.332,3.196
-0.286,-0.06,-0.665
-0.286,-0.332,0.139
2.365,-0.372,0.401
-0.286,-0.372,-0.468
-0.286,-1.402,0.951
-0.286,-0.372,-0.002
-0.286,-1.193,-0.794
-0.286,-0.372,-0.876
-0.286,-1.153,-0.368
-0.286,-0.489,-0.393
-0.286,-1.225,0.019
-0.286,-0.26,-0.468
-0.286,0.284,-0.702
-0.286,-1.37,0.965
-0.286,-0.372,0.421
-0.286,-1.402,-0.888
-0.286,-0.284,-0.473
-0.286,0.108,0.346
-0.286,-0.172,1.179
-0.286,-1.338,-0.788
-0.286,-0.372,-0.567
-0.286,-1.089,1.456
-0.286,-1.402,-0.876
-0.286,-1.402,0.678
-0.286,-0.332,2.637
-0.286,-0.036,-0.18
-0.286,-1.37,0.088
-0.286,-0.044,-0.415
-0.286,-1.402,-0.94
-0.286,-0.689,0.217
-0.286,-0.116,-0.113
-0.286,-0.372,-0.33
-0.286,-1.249,-0.55
-0.286,0.196,0.251
-0.286,-1.201,-0.696
-0.286,-0.292,-0.833
-0.286,-0.284,-0.872
-0.286,-0.116,1.176
-0.286,0.244,-0.584
-0.286,-1.402,-0.902
-0.286,-0.188,-0.272
-0.286,-0.372,-0.298
-0.286,-1.402,-0.769
-0.286,0.252,-0.248
-0.286,-0.825,0.056
-0.286,-0.332,-0.195
-0.286,0.084,-0.304
-0.286,-1.249,0.487
-0.286,-0.068,-0.723
-0.286,-0.873,-0.42
-0.286,-0.004,-0.212
-0.286,-0.332,0.031
-0.286,-0.985,-0.672
-0.286,-0.268,-0.26
-0.286,0.1,0.18
-0.286,-0.316,-0.509
-0.286,-0.14,-0.058
-0.286,-1.37,-0.277
-0.286,-0.372,-0.205
-0.286,-1.249,-0.259
-0.286,-1.402,-0.205
-0.286,-0.332,-0.015
-0.286,-1.225,-0.942
-0.286,-0.268,-0.083
-0.286,-1.29,0.948
-0.286,0.092,0.244
-0.286,-0.697,0.404
-0.286,-0.372,-0.225
-0.286,0.389,0.179
-0.286,-0.292,-0.631
-0.286,-1.209,-0.913
-0.286,0.292,1.59
-0.286,-1.258,1.884
-0.286,-0.332,-0.419
-0.286,-0.332,0.244
-0.286,-0.172,0.958
-0.286,-0.372,-0.519
-0.286,-0.372,-0.663
-0.286,-0.332,-0.854
-0.286,-1.314,-0.622
-0.286,0.124,-0.708
-0.286,-0.332,-0.781
-0.286,-0.913,-0.726
-0.286,-0.332,0.012
-0.286,-0.372,-0.686
-0.286,0.557,-0.55
-0.286,0.164,-0.502
-0.286,-0.372,-0.44
-0.286,-0.236,0.137
-0.286,-0.252,0.551
-0.286,-0.084,0.897
-0.286,-0.372,-0.374
-0.286,-0.324,1.06
-0.286,-0.809,2.004
-0.286,-0.236,-0.317
-0.286,-0.052,-0.503
2.365,-0.372,0.351
-0.286,-0.332,-0.565
-0.286,-1.402,-0.624
-0.286,-1.338,-0.373
-0.286,-1.161,0.568
-0.286,-0.18,-0.83
-0.286,-0.332,-0.376
-0.286,-0.372,-0.68
-0.286,-0.084,0.329
-0.286,-1.402,-0.781
-0.286,-1.001,-0.784
-0.286,-0.052,2.023
-0.286,-0.252,-0.707
-0.286,-0.084,-0.458
-0.286,-0.372,-0.389
-0.286,-1.145,0.953
-0.286,0.116,1.007
-0.286,0.06,2.01
-0.286,-0.324,-0.515
-0.286,-1.137,0.539
-0.286,-1.362,2.372
-0.286,-0.372,1.207
-0.286,-0.164,1.633
-0.286,-1.169,-0.571
-0.286,-0.332,-0.514
-0.286,-0.332,-0.091
-0.286,-0.372,-0.1
-0.286,-0.212,-0.101
-0.286,-0.028,-0.588
-0.286,-0.372,-0.369
-0.286,-1.266,-0.5
-0.286,-1.073,-0.798
-0.286,-1.29,-0.662
-0.286,-0.332,-0.83
-0.286,0.373,-0.629
2.365,0.084,0.446
-0.286,-1.193,-0.002
-0.286,-1.402,1.936
-0.286,0.036,6.704
-0.286,-1.402,-0.504
-0.286,-0.332,-0.318
-0.286,-0.332,-0.579
-0.286,-1.402,-0.15
2.365,-0.953,0.106
-0.286,-1.362,0.178
-0.286,0.365,1.163
-0.286,-0.372,-0.311
2.365,-1.081,7.492
-0.286,-0.332,-0.373
-0.286,0.1,0.394
-0.286,-0.332,-0.36
-0.286,-0.076,-0.438
-0.286,0.004,-0.706
-0.286,-1.402,-0.598
-0.286,-0.156,-0.318
-0.286,-0.372,-0.497
-0.286,0.18,1.204
-0.286,-0.18,-0.704
-0.286,0.02,0.778
-0.286,-0.292,0.434
-0.286,-0.22,-0.146
-0.286,-0.228,-0.703
-0.286,-1.402,-0.521
-0.286,-1.298,-0.789
-0.286,-0.06,0.445
-0.286,-0.961,1.36
-0.286,-0.372,-0.104
-0.286,-1.193,-0.732
2.365,-1.306,4.476
-0.286,-1.113,-0.628
-0.286,-1.009,-0.242
-0.286,-0.372,-0.708
-0.286,-0.108,-0.146
-0.286,-0.132,1.353
-0.286,-1.282,-0.414
-0.286,-1.362,-0.495
-0.286,-1.402,-0.871
-0.286,-0.372,-0.244
-0.286,-0.132,-0.549
-0.286,-0.06,0.191
-0.286,-0.332,-0.674
-0.286,-0.332,-0.685
-0.286,-0.068,-0.01
-0.286,-1.169,-0.786
-0.286,-1.161,-0.616
-0.286,-0.372,-0.57
-0.286,-1.402,0.051
-0.286,-1.001,1.007
-0.286,0.268,-0.241
-0.286,-1.402,2.233
-0.286,0.341,3.526
-0.286,-0.276,-0.842
-0.286,-0.372,1.488
-0.286,-0.292,-0.425
-0.286,-0.372,-0.562
-0.286,-1.402,0.094
-0.286,-0.849,2.647
-0.286,-0.212,-0.431
-0.286,-1.362,-0.269
-0.286,-1.402,-0.051
-0.286,-1.233,0.199
-0.286,-0.236,-0.205
-0.286,0.06,-0.487
-0.286,-1.193,-0.615
-0.286,-0.116,-0.284
-0.286,-1.402,-0.59
-0.286,-0.284,-0.773
-0.286,-0.332,0.646
2.365,-0.26,-0.322
-0.286,0.357,2.615
-0.286,-0.18,0.068
-0.286,-0.332,-0.719
-0.286,-0.316,-0.851
-0.286,-0.849,1.94
-0.286,-1.153,-0.319
-0.286,-1.338,-0.611
-0.286,-0.076,0.192
-0.286,-0.292,-0.161
-0.286,-1.193,0.712
-0.286,0.549,-0.264
-0.286,-0.372,0.873
-0.286,-0.26,1.071
-0.286,-0.1,-0.282
